,Case Number,Date,Year,Type,Country,Activity,Injury,Fatal,Time,Species,Shark Sizes
4,2016.09.15,16-Sep-16,2016,Unprovoked,AUSTRALIA,Surfing,No injury: Knocked off board by shark,N,,BIG SHARK,BIG SHARK
6,2016.09.11,11-Sep-16,2016,Unprovoked,USA,Other activities,Minor injury to arm,N,15h15,BIG SHARK,BIG SHARK
7,2016.09.07,07-Sep-16,2016,Unprovoked,USA,Swimming,Severe lacerations to shoulder & forearm,N,14h30,Tiger Shark,MIDDLE SHARK
12,2016.09.01,01-Sep-16,2016,Unprovoked,USA,Other activities,Two toes broken & lacerated,N,,White Shark,BIG SHARK
13,2016.08.29.b,29-Aug-16,2016,Unprovoked,USA,Surfing,Lacerations to right foot,N,15h00,Bull Shark,SMALL SHARK
15,2016.08.27,27-Aug-16,2016,Unprovoked,REUNION,Surfing,"Right arm severed, ankle severely bitten ",N,17h00,Bull Shark,SMALL SHARK
18,2016.08.06,06-Aug-16,2016,Unprovoked,USA,Other activities,"No inury, shark & board collided",N,,Tiger Shark,MIDDLE SHARK
19,2016.08.04,04-Aug-16,2016,Unprovoked,USA,Surfing,Big toe bitten,N,,Blacktip Shark,SMALL SHARK
20,2016.07.29,29-Jul-16,2016,Unprovoked,SPAIN,Swimming,Lacerations to right hand,N,11h30,Blue Shark,MIDDLE SHARK
22,2016.07.28,28-Jul-16,2016,Boat,AUSTRALIA,Other activities,"No injury, shark nudged kayak repeatedly",N,,White Shark,BIG SHARK
23,2016.07.27,27-Jul-16,2016,Provoked,USA,Other activities,Laceration to left forearm PROVOKED INCIDENT,N,,Nurse Shark,MIDDLE SHARK
27,2016.07.23.a,23-Jul-16,2016,Unprovoked,BAHAMAS,Other activities,Lacerations to face and right leg,N,,Bull Shark,SMALL SHARK
29,2016.07.17,17-Jul-16,2016,Boat,USA,Other activities,"No injury, shark bit trolling motor",N,,Tiger Shark,MIDDLE SHARK
33,2016.07.14.4,Reported  14-Jul-2016,2016,Unprovoked,BAHAMAS,Other activities,Face bruised when partly blind shark collided with him,N,,Lemon Shark,MIDDLE SHARK
34,2016.07.08.R,Reported 08-Jul-2016,2016,Unprovoked,SPAIN,Other activities,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",N,,Angel Shark,SMALL SHARK
35,2016.07.08,08-Jul-16,2016,Boat,USA,Other activities,"No injury. Hull bitten, tooth fragment recovered",N,,White Shark,BIG SHARK
37,2016.07.07.a,07-Jul-16,2016,Boat,USA,Other activities,"No injury. Hull bitten, tooth fragment recovered",N,,White Shark,BIG SHARK
39,2016.07.04,04-Jul-16,2016,Provoked,AUSTRALIA,Other activities,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,N,22h00,Nurse Shark,MIDDLE SHARK
40,2016.06.27,27-Jun-16,2016,Unprovoked,USA,Other activities,Minor injury,N,16h20,BIG SHARK,BIG SHARK
42,2016.06.24,24-Jun-16,2016,Unprovoked,COLUMBIA,Other activities,Severe bite to right hand,N,11h00,Caribbean Reef Shark,SMALL SHARK
43,2016.06.23,23-Jun-16,2016,Unprovoked,SOUTH AFRICA,Other activities,Injuries to left leg & right hand,N,,White Shark,BIG SHARK
44,2016.06.21.b,21-Jun-16,2016,Unprovoked,USA,Other activities,Lacerations and punctures to foot,N,15h25,BIG SHARK,BIG SHARK
46,2016.06.15.b,15-Jun-16,2016,Unprovoked,USA,Surfing,Single puncture wound to arm,N,06h00,BIG SHARK,BIG SHARK
47,2016.06.15.a,15-Jun-16,2016,Provoked,AUSTRALIA,Other activities,No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT,N,,BIG SHARK,BIG SHARK
48,2016.06.14,14-Jun-16,2016,Unprovoked,USA,Other activities,Injury to lower leg,N,17h30,BIG SHARK,BIG SHARK
49,2016.06.11,11-Jun-16,2016,Unprovoked,USA,Other activities,Laceration to wrist,N,15h00,BIG SHARK,BIG SHARK
53,2016.06.04,04-Jun-16,2016,Unprovoked,EGYPT,Swimming,"Leg severely bitten, surgically amputated",N,Morning,Mako Shark,SMALL SHARK
54,2016.06.02.b,02-Jun-16,2016,Unprovoked,AUSTRALIA,Other activities,"No injury, but sharks repeatedly hit their fins and guns",UNKNOWN,,Bronze Shark,MIDDLE SHARK
55,2016.06.02.a,02-Jun-16,2016,Unprovoked,NEW CALEDONIA,Surfing,Laceration to heel,N,Afternoon,MIDDLE SHARK,MIDDLE SHARK
56,2016.05.31,31-May-16,2016,Unprovoked,AUSTRALIA,Surfing,FATAL,Y,16h00,White Shark,BIG SHARK
58,2016.05.29.a,29-May-16,2016,Unprovoked,USA,Swimming,Injury to posterior right leg,N,15h45,BIG SHARK,BIG SHARK
60,2016.05.21.b,21-May-16,2016,Unprovoked,USA,Swimming,Lacerations and puncture wounds to foot and ankle,N,18h00,Bull Shark,SMALL SHARK
62,2016.05.18,18-May-16,2016,Unprovoked,USA,Swimming,Ankle bitten,N,Morning ,Blacktip Shark,SMALL SHARK
63,2016.05.15,15-May-16,2016,Provoked,USA,Other activities,Arm grabbed PROVOKED INCIDENT,N,13h20,Nurse Shark,MIDDLE SHARK
65,2016.05.02,02-May-16,2016,Provoked,NEW ZEALAND,Other activities,Foot bitten by landed shark PROVOKED INCIDENT,N,Afternoon,Mako Shark,SMALL SHARK
66,2016.04.25,25-Apr-16,2016,Unprovoked,INDONESIA,Surfing,Elbow bitten,N,07h00,Bull Shark,SMALL SHARK
68,2016.04.22,22-Apr-16,2016,Unprovoked,SOUTH AFRICA,Surfing,"No injury, surf-ski bitten",N,08h00,White Shark,BIG SHARK
69,2016.04.19,19-Apr-16,2016,Unprovoked,AUSTRALIA,Swimming,Minor puncture wound to foot,N,12h00,Wobbegong Shark,SMALL SHARK
70,2016.04.18,18-Apr-16,2016,Provoked,FRENCH POLYNESIA,Other activities,"Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT",N,,Grey Shark,SMALL SHARK
71,2016.04.13,13-Apr-16,2016,Unprovoked,USA,Other activities,Multiple bites to right arm,N,,Bull Shark,SMALL SHARK
72,2016.04.09,09-Apr-16,2016,Unprovoked,NEW CALEDONIA,Other activities,FATAL,Y,10h45,Tiger Shark,MIDDLE SHARK
74,2016.04.07.b,07-Apr-16,2016,Unprovoked,USA,Other activities,Left hand bitten,N,,BIG SHARK,BIG SHARK
80,2016.03.26,26-Mar-16,2016,Provoked,BAHAMAS,Other activities,Minor injury to chest PROVOKED INCIDENT,N,,Nurse Shark,MIDDLE SHARK
85,2016.03.03.R,Reported 03-Mar-2016,2016,Unprovoked,AUSTRALIA,Other activities,Puncture wounds to right calf,N,Midnight,Bronze Shark,MIDDLE SHARK
86,2016.03.02,02-Mar-16,2016,Unprovoked,BRAZIL,Swimming,Minor injury to head,N,,Tiger Shark,MIDDLE SHARK
95,2016.01.28,28-Jan-16,2016,Unprovoked,USA,Surfing,Lacerations to both hands,N,14h00,BIG SHARK,BIG SHARK
97,2016.01.24.b,24-Jan-16,2016,Unprovoked,USA,Other activities,"Bruised ribs & tail bone, speargun broken and wetsuit cut",N,09h30 / 10h00,Bull Shark,SMALL SHARK
98,2016.01.24.a,24-Jan-16,2016,Boat,UNITED ARAB EMIRATES,Other activities,"No injury to occupants, shark leapt into boat",N,,Mako Shark,SMALL SHARK
99,2016.01.23,23-Jan-16,2016,Unprovoked,USA,Other activities,No injury,N,Morning,Tiger Shark,MIDDLE SHARK
100,2016.01.11.R,Reported 11-Jan-2016,2016,Unprovoked,AUSTRALIA,Surfing,Laceration to right foot,N,,Wobbegong Shark,SMALL SHARK
101,2016.01.05,05-Jan-16,2016,Unprovoked,AUSTRALIA,Other activities,Laceration to right calf,N,Afternoon,Blacktip Shark,SMALL SHARK
102,2016.01.02,02-Jan-16,2016,Unprovoked,AUSTRALIA,Other activities,Lacerations to arms & leg,N,11h30,MIDDLE SHARK,MIDDLE SHARK
103,2015.12.26,26-Dec-15,2015,Boat,SOUTH AFRICA,Other activities,"No injury, kayak damaged",N,Morning,White Shark,BIG SHARK
104,2015.12.25,25-Dec-15,2015,Unprovoked,SPAIN,Swimming,Lacerations to left forearm,N,,Silky Shark,MIDDLE SHARK
106,2015.12.21.b,21-Dec-15,2015,Unprovoked,AUSTRALIA,Surfing,"No injury, shark leapt on surfboard",N,07h00,Bronze Shark,MIDDLE SHARK
107,2015.12.21.a,21-Dec-15,2015,Unprovoked,BRAZIL,Other activities,Right hand & part of forearm removed,N,,Tiger Shark,MIDDLE SHARK
109,2015.12.13,13-Dec-15,2015,Boat,AUSTRALIA,Other activities,"No injury, shark rammed boat & bit motor",N,10h30,White Shark,BIG SHARK
110,2015.12.11,11-Dec-15,2015,Unprovoked,BAHAMAS,Other activities,"Bitten on thigh, abdomen & hand",N,,Bull Shark,SMALL SHARK
114,2015.11.15.a,15-Nov-15,2015,Unprovoked,USA,Surfing,Lacerations to hand,N,,BIG SHARK,BIG SHARK
115,2015.11.10,10-Nov-15,2015,Unprovoked,AUSTRALIA,Surfing,Injury to left thigh,N,18h15,Bull Shark,SMALL SHARK
118,2015.11.01.b,01-Nov-15,2015,Unprovoked,USA,Other activities,Injury to right ankle/calf & hand,N,14h00,BIG SHARK,BIG SHARK
122,2015.10.25,25-Oct-15,2015,Unprovoked,SOUTH AFRICA,Surfing,"Lacerations to right calf, knee & hip",N,15h00,White Shark,BIG SHARK
123,2015.10.21,21-Oct-15,2015,Unprovoked,USA,Surfing,Lacerations to left hand,N,14h30,BIG SHARK,BIG SHARK
124,2015.10.19,19-Oct-15,2015,Unprovoked,USA,Surfing,Left foot bitten,N,13h50,BIG SHARK,BIG SHARK
127,2015.10.17.a,17-Oct-15,2015,Unprovoked,USA,Swimming,Injuries to lower legs,N,11h30,Tiger Shark,MIDDLE SHARK
128,2015.10.13,13-Oct-15,2015,Boat,USA,Other activities,"No injury, shark rammed kayak repeatedly",N,11h00,Hammerhead Shark,BIG SHARK
130,2015.10.09.a,09-Oct-15,2015,Unprovoked,USA,Surfing,"Left leg severed below the knee, defense injuries to left hand",N,10h25,Tiger Shark,MIDDLE SHARK
134,2015.10.05.a,05-Oct-15,2015,Unprovoked,USA,Other activities,Foot & hands bitten,N,10h00,BIG SHARK,BIG SHARK
135,2015.10.04,04-Oct-15,2015,Unprovoked,USA,Surfing,Severe lacerations to left hand,N,08h30,Blacktip Shark,SMALL SHARK
136,2015.09.29,29-Sep-15,2015,Unprovoked,USA,Surfing,"Laceration to heel, puncture wounds to dorsum of foot",N,16h20,Blacktip Shark,SMALL SHARK
138,2015.09.24,24-Sep-15,2015,Unprovoked,USA,Other activities,"No injury, kayak damaged",N,10h45-11h15,White Shark,BIG SHARK
140,2015.09.20.c,20-Sep-15,2015,Unprovoked,USA,Other activities,Severe laceration to left leg,N,15h52,Tiger Shark,MIDDLE SHARK
141,2015.09.20.b,20-Sep-15,2015,Unprovoked,USA,Other activities,Significant injuries to leg,N,12h30,BIG SHARK,BIG SHARK
145,2015.09.08,08-Sep-15,2015,Unprovoked,AUSTRALIA,Surfing,Minor laceration to hand,N,06h15,BIG SHARK,BIG SHARK
146,2015.09.06,06-Sep-15,2015,Unprovoked,USA,Other activities,"No injury, shark struck board, tossing her into the sea",N,17h30,White Shark,BIG SHARK
147,2015.09.05,05-Sep-15,2015,Provoked,USA,Other activities,Laceration to dorsum of foot by hooked shark  PROVOKED INCIDENT,N,14h40,Hammerhead Shark,BIG SHARK
148,2015.09.04,04-Sep-15,2015,Unprovoked,AUSTRALIA,Surfing,Inuries to lower left leg & ankle,N,11h30,White Shark,BIG SHARK
149,2015.09.03,03-Sep-15,2015,Unprovoked,USA,Other activities,Right foot bitten,N,16h00,BIG SHARK,BIG SHARK
150,2015.09.01,01-Sep-15,2015,Unprovoked,THAILAND,Other activities,Left foot & ankle bitten,N,08h30,SMALL SHARK,SMALL SHARK
151,2015.09.00,Sep-15,2015,Unprovoked,FIJI,Other activities,Leg bitten,N,,Tiger Shark,MIDDLE SHARK
152,2015.08.29.b,29-Aug-15,2015,Unprovoked,USA,Surfing,"No injury, surfboard bitten",N,10h25,White Shark,BIG SHARK
153,2015.08.29.a,29-Aug-15,2015,Unprovoked,USA,Surfing,"No injury, shark struk sufer's leg and his board",N,10h00,White Shark,BIG SHARK
156,2015.08.20,20-Aug-15,2015,Unprovoked,USA,Surfing,"Injuries to left calf, arm and hand",N,12h30,BIG SHARK,BIG SHARK
157,2015.08.19,19-Aug-15,2015,Unprovoked,USA,Other activities,Lacerations to right leg,N,15h30,BIG SHARK,BIG SHARK
158,2015.08.18.b,18-Aug-15,2015,Unprovoked,USA,Other activities,"No injury, kayak bitten",N,07h30,White Shark,BIG SHARK
160,2015.08.10,10-Aug-15,2015,Provoked,USA,Other activities,Right hand bitten  PROVOKED INCIDENT,N,08h00,Hammerhead Shark,BIG SHARK
161,2015.07.31,31-Jul-15,2015,Unprovoked,AUSTRALIA,Surfing,"Lacerations and puncture wounds to hip, thigh, arm and hand",N,06h00,White Shark,BIG SHARK
162,2015.07.26.b,26-Jul-15,2015,Unprovoked,USA,Surfing,Minor injury to sole of foot,N,19h00,Blacktip Shark,SMALL SHARK
163,2015.07.26.a,26-Jul-15,2015,Invalid,USA,Other activities,"2' cut to dorsum of foot, 2 puncture wounds to sole",N,10h10,BIG SHARK,BIG SHARK
164,2015.07.25,25-Jul-15,2015,Unprovoked,AUSTRALIA,Other activities,FATAL,Y,10h00,White Shark,BIG SHARK
165,2015.07.23.b,23-Jul-15,2015,Provoked,USA,Other activities,No injury to occupant. Kayak bitten by gaffed shark. PROVOKED INCIDENT,N,,Mako Shark,SMALL SHARK
166,2015.07.23.a,23-Jul-15,2015,Unprovoked,AUSTRALIA,Surfing,Left hand bitten,N,,Bronze Shark,MIDDLE SHARK
167,2015.07.22,22-Jul-15,2015,Unprovoked,REUNION,Surfing,Arm bitten,N,,Bull Shark,SMALL SHARK
168,2015.07.19,19-Jul-15,2015,Unprovoked,SOUTH AFRICA,Surfing,No injury,N,,White Shark,BIG SHARK
169,2015.07-10,10-Jul-15,2015,Unprovoked,USA,Surfing,"No injury, shark bumped & damaged board",N,08h45,White Shark,BIG SHARK
172,2015.07.04.b,04-Jul-15,2015,Unprovoked,BAHAMAS,Other activities,Lacerations to lower leg & ankle,N,,BIG SHARK,BIG SHARK
174,2015.07.03,03-Jul-15,2015,Unprovoked,AUSTRALIA,Surfing,"No injury, shark bit surfboard",N,09h00,White Shark,BIG SHARK
175,2015.07.02,02-Jul-15,2015,Unprovoked,AUSTRALIA,Other activities,Significant injuries to lower legs,N,09h00,White Shark,BIG SHARK
176,2015.07.01,01-Jul-15,2015,Unprovoked,USA,Swimming,"Injuries to torso, hip, lower leg & hands",N,12h10,BIG SHARK,BIG SHARK
178,2015.06.30.a,30-Jun-15,2015,Unprovoked,USA,Other activities,Shallow lacerations & puncture to lateral left leg,N,18h05,BIG SHARK,BIG SHARK
179,2015.06.27.b,27-Jun-15,2015,Unprovoked,USA,Swimming,"Injuries to right calf, buttock and both hands",N,16h00,Bull Shark,SMALL SHARK
180,2015.06.27.a,27-Jun-15,2015,Unprovoked,SOUTH AFRICA,Other activities,"Right leg severed, multiple lacerations to left leg",N,14h40,White Shark,BIG SHARK
182,2015.06.26.b,26-Jun-15,2015,Unprovoked,SOUTH AFRICA,Surfing,Multiple lacerations to torso & leg,N,16h00,White Shark,BIG SHARK
183,2015.06.26.a,26-Jun-15,2015,Unprovoked,USA,Other activities,Puncture wounds to foot,N,11h00,BIG SHARK,BIG SHARK
184,2015.06.25.R,Reported 25-Jun-2015,2015,Provoked,AUSTRALIA,Swimming,Minor lacerations to forearm when he grabbed shark by its tail     PROVOKED INCIDENT,N,,Wobbegong Shark,SMALL SHARK
186,2015.06.24.b,24-Jun-15,2015,Unprovoked,USA,Swimming,Minor injury to foot,N,12h25,Tiger Shark,MIDDLE SHARK
187,2015.06.24.a,24-Jun-15,2015,Invalid,AUSTRALIA,Surfing,"Bruises and abrasions to face, chin, chest, both shins & feet and cut to right hand when her surfboard was struck with force",N,09h30,White Shark,BIG SHARK
188,2015.06.23,23-Jun-15,2015,Unprovoked,USA,Other activities,Minor injury to calf ,N,,SMALL SHARK,SMALL SHARK
191,2015.06.14.b,14-Jun-15,2015,Unprovoked,USA,Other activities,Arm amputated below shoulder,N,17h51,Bull Shark,SMALL SHARK
192,2015.06.14.a,14-Jun-15,2015,Unprovoked,USA,Other activities,Left arm amputated at elbow & severe injury to leg,N,16h12,Bull Shark,SMALL SHARK
193,2015.06.13,13-Jun-15,2015,Unprovoked,USA,Other activities,Severe laceration to leg,N,,Mako Shark,SMALL SHARK
194,2015.06.11,11-Jun-15,2015,Unprovoked,USA,Other activities,Minor lacerations to foot,N,12h45,BIG SHARK,BIG SHARK
195,2015.06.07,07-Jun-15,2015,Unprovoked,USA,Other activities,Lacerations to right calf,N,10h50,Bull Shark,SMALL SHARK
196,2015.06.05,05-Jun-15,2015,Unprovoked,USA,Other activities,Puncture wound to finger,N,,Nurse Shark,MIDDLE SHARK
197,2015.06.01,01-Jun-15,2015,Unprovoked,REUNION,Surfing,Left forearm bitten,N,15h00,Bull Shark,SMALL SHARK
200,2015.05.25,25-May-15,2015,Unprovoked,FRENCH POLYNESIA,Other activities,Lacerations to right forearm,N,08h00,BIG SHARK,BIG SHARK
202,2015.05.20,20-May-15,2015,Unprovoked,USA,Surfing,2 puncture wounds to  dorsum of left foot,N,10h30,BIG SHARK,BIG SHARK
