,Case Number,Date,Year,Type,Country,Area,Location,Activity,Sex ,Age,Fatal (Y/N)
0,2016.09.18.c,Sep,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,16,N
1,2016.09.18.b,Sep,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,36,N
2,2016.09.18.a,Sep,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,43,N
6,2016.09.11,Sep,2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Wading,M,60,N
7,2016.09.07,Sep,2016,Unprovoked,USA,Hawaii,"Makaha, Oahu",Swimming,F,51,N
8,2016.09.06,Sep,2016,Unprovoked,NEW CALEDONIA,North Province,Koumac,Kite surfing,M,50,Y
9,2016.09.05.b,Sep,2016,Unprovoked,USA,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",Boogie boarding,F,12,N
11,2016.09.04,Sep,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Body boarding,M,9,N
12,2016.09.01,Sep,2016,Unprovoked,USA,California,"Refugio State Beach, Santa Barbara County",Spearfishing,M,22,N
13,2016.08.29.b,Aug,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,25,N
14,2016.08.29.a,Aug,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,37,N
15,2016.08.27,Aug,2016,Unprovoked,REUNION,Unknown,Boucan Canot,Surfing,M,20,N
16,2016.08.25,Aug,2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Wading,M,49,N
17,2016.08.07,Aug,2016,Unprovoked,BAHAMAS,New Providence Island,Nassau,Snorkeling,M,15,N
18,2016.08.06,Aug,2016,Unprovoked,USA,Hawaii,Maui,SUP Foil boarding,M,21,N
19,2016.08.04,Aug,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,22,N
20,2016.07.29,Jul,2016,Unprovoked,SPAIN,Alicante Province,Arenales del Sol,Swimming,M,40,N
21,2016.07.28.R,Jul,2016,Unprovoked,CHINA,Hong Kong,Unknown,Swimming,M,72,N
23,2016.07.27,Jul,2016,Provoked,USA,Florida,"Florida Keys, Monroe County",Lobstering,M,43,N
24,2016.07.26,Jul,2016,Unprovoked,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,M,18,N
25,2016.07.24,Jul,2016,Unprovoked,JAPAN,Kochi Prefecture,Irino Beach,Surfing,M,29,N
26,2016.07.23.b,Jul,2016,Unprovoked,AUSTRALIA,Tasmania,Clifton Beach,Surfing,M,36,N
28,2016.07.20,Jul,2016,Provoked,AUSTRALIA,Queensland,"20 k off The Spit, off the Gold Coast",Fishing,M,31,N
30,2016.07.16.b,Jul,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,9,N
31,2016.07.16.a,Jul,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Unknown,F,11,N
34,2016.07.08.R,Jul,2016,Unprovoked,SPAIN,Canary Islands,"Las Teresitas, Tenerife",Wading,F,10,N
36,2016.07.07.b,Jul,2016,Provoked,USA,Massachusetts,"Off Gloucester, Essec County",Fishing,M,59,N
38,2016.07.06,Jul,2016,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,F,42,N
39,2016.07.04,Jul,2016,Provoked,AUSTRALIA,Queensland,Palm Cove ,Fishing,M,34,N
40,2016.06.27,Jun,2016,Unprovoked,USA,South Carolina,Sullivan's Island,Unknown,M,35,N
41,2016.06.25,Jun,2016,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Surfing,M,11,N
42,2016.06.24,Jun,2016,Unprovoked,COLUMBIA,Isla Provedencia,Unknown,Scuba Diving,M,59,N
43,2016.06.23,Jun,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,Ryspunt,Spearfishing,M,43,N
44,2016.06.21.b,Jun,2016,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",Floating,M,42,N
47,2016.06.15.a,Jun,2016,Provoked,AUSTRALIA,Western Australia,Coral Bay,Spearfishing,M,19,N
48,2016.06.14,Jun,2016,Unprovoked,USA,Texas,"Pirates Beach, Galveston",Floating in tube,F,6,N
49,2016.06.11,Jun,2016,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Standing,M,19,N
50,2016.06.07,Jun,2016,Invalid,USA,South Carolina,"Folly Beach, Charleston County",Surfing,M,27,N
51,2016.06.05.b,Jun,2016,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",Swimming,M,64,N
52,2016.06.05.a,Jun,2016,Unprovoked,AUSTRALIA,Western Australia,Mindarie,Diving,F,60,Y
53,2016.06.04,Jun,2016,Unprovoked,EGYPT,Suez,Ain Sokhna,Swimming,M,23,N
56,2016.05.31,May,2016,Unprovoked,AUSTRALIA,Western Australia,"Falcon Beach, Mandurah",Surfing,M,29,Y
57,2016.05.29.b,May,2016,Unprovoked,USA,California,"Corona Del Mar, Newport, Orange County",Swimming,F,52,N
58,2016.05.29.a,May,2016,Unprovoked,USA,Florida,"Neptune, Duval County",Swimming,M,13,N
59,2016.05.22,May,2016,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Swimming,F,57,N
60,2016.05.21.b,May,2016,Unprovoked,USA,Florida,"St. Petersburg, Pinellas County",Swimming,F,22,N
61,2016.05.21.a,May,2016,Unprovoked,USA,Florida,"Hugenot Beach , Jacksonville, Duval County",Swimming,F,11,N
62,2016.05.18,May,2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Swimming,M,48,N
63,2016.05.15,May,2016,Provoked,USA,Florida,"Boca Raton, Palm Beach County",Teasing a shark,F,23,N
64,2016.05.03,May,2016,Unprovoked,USA,Hawaii,"Wailea Beach, Maui",Floating,M,59,N
65,2016.05.02,May,2016,Provoked,NEW ZEALAND,North Island,Cormandel,Fishing,M,39,N
66,2016.04.25,Apr,2016,Unprovoked,INDONESIA,Bali,Balian,Surfing,M,24,N
67,2016.04.23,Apr,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,15,N
69,2016.04.19,Apr,2016,Unprovoked,AUSTRALIA,New South Wales,"First Sun Beach, Byron Bay",Swimming,M,12,N
70,2016.04.18,Apr,2016,Provoked,FRENCH POLYNESIA,Tuamotos,Makemo Atoll,Spearfishing,M,26,N
71,2016.04.13,Apr,2016,Unprovoked,USA,Florida,"Off Singer Island, Palm Beach County",Spearfishing,M,26,N
72,2016.04.09,Apr,2016,Unprovoked,NEW CALEDONIA,Grand Terre,Poe Beach,Walking,F,69,Y
73,2016.04.08,Apr,2016,Invalid,CAPE VERDE,Boa Vista Island,Unknown,Unknown,M,60,N
74,2016.04.07.b,Apr,2016,Unprovoked,USA,Florida,"Florida Keys, Monroe County",Fishing,M,34,N
76,2016.03.31,Mar,2016,Unprovoked,USA,Hawaii,"Olowalu, Maui",Snorkeling,F,46,N
77,2016.03.30,Mar,2016,Unprovoked,AUSTRALIA,New South Wales,Bombo Beach,Surfing,M,22,N
79,2016.03.28.a,Mar,2016,Unprovoked,AUSTRALIA,New South Wales,North Cronulla Beach,Surfing,M,41,N
80,2016.03.26,Mar,2016,Provoked,BAHAMAS,Unknown,Unknown,Unknown,M,9,N
82,2016.03.11,Mar,2016,Unprovoked,USA,Florida,"Vero Beach, St. Lucie County",Body surfing,M,19,N
83,2016.03.10,Mar,2016,Unprovoked,Fiji,Vanua Levu,Unknown,Diving for beche-de-mer,M,45,Y
84,2016.03.04,Mar,2016,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Unknown,M,12,N
86,2016.03.02,Mar,2016,Unprovoked,BRAZIL,Santa Catarina State,Escalerio Beach Balne�rio Cambori�,Swimming,M,41,N
87,2016.02.22,Feb,2016,Unprovoked,NEW CALEDONIA,South Province,"Ricaudy Reef, Noumea",Kite surfing,M,21,N
88,2016.02.19,Feb,2016,Unprovoked,NEW CALEDONIA,South Province,Yate,Spearfishing,M,31,N
90,2016.02.10.R,Feb,2016,Invalid,CAYMAN ISLANDS,Grand Cayman,Stingray City Bar,Feeding stingrays?,M,65,N
92,2016.02.05,Feb,2016,Unprovoked,AUSTRALIA,Queensland,Stradbroke Island,Walking,F,45,N
93,2016.02.04,Feb,2016,Unprovoked,AUSTRALIA,New South Wales,Hams Beach,Windsurfing,M,40,N
96,2016.01.25,Jan,2016,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai, ",Surfing,F,15,N
99,2016.01.23,Jan,2016,Unprovoked,USA,Hawaii,"Wailea Beach, Maui",Paddle boarding,M,48,N
101,2016.01.05,Jan,2016,Unprovoked,AUSTRALIA,Queensland,Heron Island,Wading,M,11,N
102,2016.01.02,Jan,2016,Unprovoked,AUSTRALIA,Queensland,Miall Island,Spearfishing,M,31,N
104,2015.12.25,Dec,2015,Unprovoked,SPAIN,Grand Canary Island,"Arinaga Beach, Aguimes, Gran Canaria",Swimming,F,38,N
105,2015.12.22,Dec,2015,Unprovoked,USA,Hawaii,La'aloa Beach Park,Paddle boarding,M,71,N
106,2015.12.21.b,Dec,2015,Unprovoked,AUSTRALIA,New South Wales,Bondi Beach,Surfing,M,43,N
107,2015.12.21.a,Dec,2015,Unprovoked,BRAZIL,Pernambuco,Fernano de Noronha,Scuba diving,M,32,N
108,2015.12.19,Dec,2015,Unprovoked,ARUBA,Unknown,Boat capsized,Sea disaster,M,58,Y
110,2015.12.11,Dec,2015,Unprovoked,BAHAMAS,Unknown,Off Andros Island,Lobster fishing,M,26,N
111,2015.12.08,Dec,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Mpande,Swimming / Wading,F,22,N
114,2015.11.15.a,Nov,2015,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Surfing,M,28,N
115,2015.11.10,Nov,2015,Unprovoked,AUSTRALIA,New South Wales,East Ballina,Surfing,M,20,N
116,2015.12.23,Nov,2015,Invalid,USA,Florida,"Paradise Beach, Melbourne, Brevard County",Surfing,F,9,N
117,2015.11.03,Nov,2015,Unprovoked,USA,Hawaii,"Kehena Beach, Hawaii",Swimming,M,54,N
118,2015.11.01.b,Nov,2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Wading,F,28,N
119,2015.11.01.a,Nov,2015,Unprovoked,MOZAMBIQUE,Inhambane Province,Maxixe,Fishing,M,19,N
120,2015.10.30,Oct,2015,Unprovoked,AUSTRALIA,Western Australia,Bald Island,Spearfishing,M,50,N
121,2015.10.28.a,Oct,2015,Unprovoked,USA,Hawaii,"Malaka, Oahu",Body boarding,M,10,N
122,2015.10.25,Oct,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,Stil Bay,Surfing,M,42,N
123,2015.10.21,Oct,2015,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",Surfing,M,21,N
124,2015.10.19,Oct,2015,Unprovoked,USA,Florida,"Deerfield Beach, Broward County",Surfing,M,21,N
125,2015.10.17.c,Oct,2015,Unprovoked,MOZAMBIQUE,Inhambane Province,"Nahaduga, Inhambane Bay",Fishing for shrimp,F,35,Y
126,2015.10.17.b,Oct,2015,Invalid,USA,Hawaii,"Waikiki, ",Surfing,M,32,N
127,2015.10.17.a,Oct,2015,Unprovoked,USA,Hawaii,"Lanikai Beach, Kailua, Oahu",Swimming,M,44,N
129,2015.10.09.b,Oct,2015,Unprovoked,USA,South Carolina,"Shipyard Beach Club, Hilton Head Island, Beaufort County",Boogie boarding,F,9,N
130,2015.10.09.a,Oct,2015,Unprovoked,USA,Hawaii,"Leftovers, Oahu",Surfing,M,25,N
132,2015.10.07,Oct,2015,Unprovoked,AUSTRALIA,Western Australia,Pyramids Beach,Surfing,M,18,N
133,2015.10.05.b,Oct,2015,Unprovoked,USA,Florida,"Pepper Park Beach, St. Lucie County",Body boarding,M,22,N
