Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt2724064,2018-06-29,2018-06-29,,Sharknado,https://www.imdb.com/title/tt2724064/,tvMovie,3.3,86,2013,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",43439,2013-07-11,Anthony C. Ferrante
2,tt3062074,2018-06-29,2018-06-29,,Sharknado 2: The Second One,https://www.imdb.com/title/tt3062074/,tvMovie,4.1,95,2014,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",16704,2014-06-30,Anthony C. Ferrante
3,tt3899796,2018-06-29,2018-06-29,,Sharknado 3: Oh Hell No!,https://www.imdb.com/title/tt3899796/,tvMovie,4.1,93,2015,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",10860,2015-07-22,Anthony C. Ferrante
4,tt4831420,2018-06-29,2018-06-29,,Sharknado 4: The 4th Awakens,https://www.imdb.com/title/tt4831420/,tvMovie,4.0,95,2016,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",6525,2016-07-31,Anthony C. Ferrante
5,tt6298780,2018-06-29,2018-06-29,,Sharknado 5: Global Swarming,https://www.imdb.com/title/tt6298780/,tvMovie,4.0,93,2017,"Action, Adventure, Comedy, Fantasy, Horror, Sci-Fi, Thriller",4481,2017-08-06,Anthony C. Ferrante
6,tt8031422,2018-06-29,2018-06-29,,The Last Sharknado: It's About Time,https://www.imdb.com/title/tt8031422/,tvMovie,3.6,86,2018,"Action, Adventure, Comedy, Fantasy, Horror, Sci-Fi, Thriller",2549,2018-08-19,Anthony C. Ferrante
7,tt2043757,2018-06-29,2018-06-29,,2-Headed Shark Attack,https://www.imdb.com/title/tt2043757/,video,2.6,88,2012,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",6097,2012-01-17,Christopher Ray
8,tt4685096,2018-06-29,2018-06-29,,3-Headed Shark Attack,https://www.imdb.com/title/tt4685096/,video,2.7,89,2015,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",2521,2015-07-20,Christopher Ray
9,tt6719524,2018-06-29,2018-06-29,,5 Headed Shark Attack,https://www.imdb.com/title/tt6719524/,tvMovie,3.2,89,2017,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",829,2017-07-30,Nico De Leon
10,tt8360902,2018-06-29,2018-06-29,,6-Headed Shark Attack,https://www.imdb.com/title/tt8360902/,tvMovie,3.2,86,2018,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",390,2018-08-18,Mark Atkins
11,tt1350498,2018-06-29,2018-06-29,,Mega Shark vs. Giant Octopus,https://www.imdb.com/title/tt1350498/,video,2.6,88,2009,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",10081,2009-05-26,Jack Perez
12,tt1705773,2018-06-29,2018-06-29,,Mega Shark vs. Crocosaurus,https://www.imdb.com/title/tt1705773/,video,2.5,88,2010,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",4703,2010-12-21,Christopher Ray
13,tt3152098,2018-06-29,2018-06-29,,Mega Shark vs. Mecha Shark,https://www.imdb.com/title/tt3152098/,movie,2.7,85,2014,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",2773,2014-01-28,Emile Edwin Smith
14,tt4566574,2018-06-29,2018-06-29,,Mega Shark vs. Kolossus,https://www.imdb.com/title/tt4566574/,movie,2.8,89,2015,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",1284,2015-05-16,Christopher Ray
15,tt6118878,2018-06-29,2018-06-29,,Mega Shark vs. Moby Dick,https://www.imdb.com/title/tt6118878/,tvMovie,,,,"Horror, Sci-Fi",,,
16,tt0161970,2018-06-29,2018-06-29,,Shark Attack,https://www.imdb.com/title/tt0161970/,tvMovie,3.5,95,1999,"Action, Horror, Sci-Fi, Thriller",2659,1999-05-28,Bob Misiorowski
17,tt0222355,2018-06-29,2018-06-29,,Shark Attack 2,https://www.imdb.com/title/tt0222355/,video,3.1,98,2000,"Action, Adventure, Horror, Sci-Fi, Thriller",2171,2000-12-05,David Worth
18,tt0376753,2018-06-29,2018-06-29,,Hai-Alarm auf Mallorca,https://www.imdb.com/title/tt0376753/,tvMovie,2.4,109,2004,"Action, Adventure, Drama, Horror, Sci-Fi, Thriller",906,2004-10-17,Jorgo Papavassiliou
19,tt0313597,2018-06-29,2018-06-29,,Shark Attack 3: Megalodon,https://www.imdb.com/title/tt0313597/,video,2.9,99,2002,"Action, Adventure, Horror, Sci-Fi, Thriller",4795,2002-11-26,David Worth
20,tt3743126,2018-06-29,2018-06-29,,Sharktopus vs. Pteracuda,https://www.imdb.com/title/tt3743126/,tvMovie,3.5,84,2014,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",1630,2014-08-02,Kevin O'Neill
21,tt5606742,2018-06-29,2018-06-29,,Ozark Sharks,https://www.imdb.com/title/tt5606742/,movie,3.6,88,2016,"Action, Adventure, Comedy, Drama, Horror, Sci-Fi, Thriller",690,2016-07-28,Misty Talley
22,tt4360350,2018-06-29,2018-06-29,,Zombie Sharks,https://www.imdb.com/title/tt4360350/,tvMovie,4.7,,2014,Documentary,48,2014-08-10,Brian Armstrong
23,tt3977848,2018-06-29,2018-06-29,,Sky Sharks,https://www.imdb.com/title/tt3977848/,movie,,110,,"Comedy, Horror",,,Marc Fehse
24,tt1844770,2018-06-29,2018-06-29,,Sand Sharks,https://www.imdb.com/title/tt1844770/,movie,2.7,86,2012,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",4510,2012-01-09,Mark Atkins
25,tt5448564,2018-06-29,2018-06-29,,Sand Shark: Not in 3D,https://www.imdb.com/title/tt5448564/,tvMovie,,,2015,Action,,2015-10-10,"Mario DeAngelis, Jason Falasco"
26,tt2600742,2018-06-29,2018-06-29,,Ghost Shark,https://www.imdb.com/title/tt2600742/,tvMovie,3.4,87,2013,"Action, Adventure, Comedy, Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",2545,2013-08-22,Griff Furst
27,tt1732651,2018-06-29,2018-06-29,,Ghost Shark 2: Urban Jaws,https://www.imdb.com/title/tt1732651/,movie,3.1,70,2015,"Drama, Fantasy, Horror, Sci-Fi, Thriller",134,2015-06-27,"Johnny Hall, Andrew Todd"
28,tt1684927,2018-06-29,2018-06-29,,Swamp Shark,https://www.imdb.com/title/tt1684927/,tvMovie,3.8,85,2011,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",2581,2011-06-25,Griff Furst
29,tt2622826,2018-06-29,2018-06-29,,Avalanche Sharks,https://www.imdb.com/title/tt2622826/,movie,2.3,82,2014,"Action, Adventure, Comedy, Fantasy, Horror, Sci-Fi, Thriller",1806,2014-01-01,Scott Wheeler
30,tt1698008,2018-06-29,2018-06-29,,Super Shark,https://www.imdb.com/title/tt1698008/,movie,2.5,87,2011,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",1978,2011-12-08,Fred Olen Ray
31,tt5901326,2018-06-29,2018-06-29,,Ice Sharks,https://www.imdb.com/title/tt5901326/,tvMovie,3.2,85,2016,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",870,2016-07-26,Emile Edwin Smith
32,tt5828640,2018-06-29,2018-06-29,,Planet of the Sharks,https://www.imdb.com/title/tt5828640/,tvMovie,2.7,86,2016,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",964,2016-07-27,Mark Atkins
33,tt6973866,2018-06-29,2018-06-29,,Toxic Shark,https://www.imdb.com/title/tt6973866/,tvMovie,3.5,87,2017,"Action, Adventure, Comedy, Drama, Horror, Sci-Fi, Thriller",589,2017-08-03,Cole Sharpe
34,tt5773112,2018-06-29,2018-06-29,,Dam Sharks,https://www.imdb.com/title/tt5773112/,tvMovie,4.3,83,2016,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",406,2016-07-25,"James Kondelik, Jon Kondelik"
35,tt5930094,2018-06-29,2018-06-29,,Atomic Shark,https://www.imdb.com/title/tt5930094/,movie,3.0,90,2016,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",163,2016-07-24,Lisa Palenica
36,tt0373653,2018-06-29,2018-06-29,Own,12 Days of Terror,https://www.imdb.com/title/tt0373653/,tvMovie,5.5,87,2004,"Drama, Horror, Thriller",1586,2004-08-31,Jack Sholder
37,tt3544654,2018-06-29,2018-06-29,Own,90210 Shark Attack,https://www.imdb.com/title/tt3544654/,movie,1.8,75,2014,"Drama, Horror, Sci-Fi",190,2014-10-01,David DeCoteau
38,tt1438173,2018-06-29,2018-06-29,Own,Bait,https://www.imdb.com/title/tt1438173/,movie,5.2,93,2012,"Action, Adventure, Drama, Horror, Thriller",14661,2012-09-05,Kimble Rendall
39,tt0444723,2018-06-29,2018-06-29,,Blue Demon,https://www.imdb.com/title/tt0444723/,video,2.9,99,2004,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",932,2004-10-15,Daniel Grodnik
40,tt0156205,2018-06-29,2018-06-29,,Creature,https://www.imdb.com/title/tt0156205/,tvMiniSeries,5.1,240,1998,"Action, Horror, Sci-Fi, Thriller",2412,1998-05-17,
41,tt0075901,2018-06-29,2018-06-29,,Cyclone,https://www.imdb.com/title/tt0075901/,movie,5.0,100,1978,"Action, Adventure, Drama, Horror, Thriller",396,1978-07-21,René Cardona Jr.
42,tt1507563,2018-06-29,2018-06-29,Own,Dark Tide,https://www.imdb.com/title/tt1507563/,movie,4.3,94,2012,"Action, Adventure, Drama, Horror, Thriller",7692,2012-03-08,John Stockwell
43,tt0391908,2018-06-29,2018-06-29,,Dark Waters,https://www.imdb.com/title/tt0391908/,video,3.3,93,2003,"Action, Adventure, Horror, Sci-Fi, Thriller",671,2003-12-09,Phillip J. Roth
44,tt0075925,2018-06-29,2018-06-29,,The Deep,https://www.imdb.com/title/tt0075925/,movie,6.2,123,1977,"Adventure, Mystery, Thriller",10074,1977-06-17,Peter Yates
45,tt0149261,2018-06-29,2018-06-29,Own,Deep Blue Sea,https://www.imdb.com/title/tt0149261/,movie,5.8,105,1999,"Action, Adventure, Sci-Fi, Thriller",115507,1999-07-26,Renny Harlin
46,tt1545986,2018-06-29,2018-06-29,Own,Dinoshark,https://www.imdb.com/title/tt1545986/,tvMovie,3.3,92,2010,"Action, Adventure, Comedy, Fantasy, Horror, Sci-Fi, Thriller",2415,2010-03-13,Kevin O'Neill
47,tt0073195,2018-06-29,2018-06-29,Own,Jaws,https://www.imdb.com/title/tt0073195/,movie,8.0,124,1975,"Adventure, Drama, Thriller",511395,1975-06-20,Steven Spielberg
48,tt0077766,2018-06-29,2018-06-29,Own,Jaws 2,https://www.imdb.com/title/tt0077766/,movie,5.7,116,1978,"Adventure, Drama, Horror, Thriller",64313,1978-06-16,Jeannot Szwarc
49,tt0085750,2018-06-29,2018-06-29,Own,Jaws 3-D,https://www.imdb.com/title/tt0085750/,movie,3.6,99,1983,"Adventure, Horror, Thriller",35583,1983-07-22,Joe Alves
50,tt0093300,2018-06-29,2018-06-29,Own,Jaws: The Revenge,https://www.imdb.com/title/tt0093300/,movie,2.9,89,1987,"Adventure, Horror, Thriller",37355,1987-07-17,Joseph Sargent
51,tt1786635,2018-06-29,2018-06-29,,Jaws in Japan,https://www.imdb.com/title/tt1786635/,video,1.5,70,2009,"Action, Adventure, Comedy, Crime, Drama, Horror, Mystery, Sci-Fi, Thriller",518,2009-08-21,John Hijiri
52,tt1876349,2018-06-29,2018-06-29,Own,Jersey Shore Shark Attack,https://www.imdb.com/title/tt1876349/,tvMovie,3.1,87,2012,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",1640,2012-06-09,John Shepphird
53,tt2071491,2018-06-29,2018-06-29,,Jurassic Shark,https://www.imdb.com/title/tt2071491/,movie,1.6,75,2012,"Action, Adventure, Comedy, Fantasy, Horror, Sci-Fi, Thriller",3703,2012-04-20,Brett Kelly
54,tt1613750,2018-06-29,2018-06-29,,Kon-Tiki,https://www.imdb.com/title/tt1613750/,movie,7.2,118,2012,"Adventure, History",41746,2012-08-18,"Espen Sandberg, Joachim Rønning"
55,tt0074845,2018-06-29,2018-06-29,,Mako: The Jaws of Death,https://www.imdb.com/title/tt0074845/,movie,3.6,91,1976,"Action, Adventure, Comedy, Drama, Fantasy, Horror, Sci-Fi, Thriller",548,1976-07-31,William Grefé
56,tt1478325,2018-06-29,2018-06-29,Own,Malibu Shark Attack,https://www.imdb.com/title/tt1478325/,tvMovie,3.3,88,2009,"Action, Adventure, Comedy, Drama, Horror, Sci-Fi, Thriller",2042,2009-07-25,David Lister
57,tt1239450,2018-06-29,2018-06-29,,Marina Monster,https://www.imdb.com/title/tt1239450/,video,1.4,72,2008,"Comedy, Horror",135,2008-05-27,Christine Whitlock
58,tt0284303,2018-06-29,2018-06-29,,Megalodon,https://www.imdb.com/title/tt0284303/,video,2.9,90,2002,"Action, Adventure, Horror, Sci-Fi, Thriller",1926,2002-10-04,Pat Corbitt
59,tt0374102,2018-06-29,2018-06-29,,Open Water,https://www.imdb.com/title/tt0374102/,movie,5.7,79,2003,"Adventure, Drama, Horror, Thriller",48085,2003-10-26,Chris Kentis
60,tt0102455,2018-06-29,2018-06-29,,Mission of the Shark: The Saga of the U.S.S. Indianapolis,https://www.imdb.com/title/tt0102455/,tvMovie,6.4,100,1991,"Action, Drama, History, War",752,1991-09-29,Robert Iscove
61,tt0081677,2018-06-29,2018-06-29,Own,L'ultimo squalo,https://www.imdb.com/title/tt0081677/,movie,4.4,88,1981,Horror,1968,1981-04-02,Enzo G. Castellari
62,tt1239450,2018-06-29,2018-06-29,,Marina Monster,https://www.imdb.com/title/tt1239450/,video,1.4,72,2008,"Comedy, Horror",135,2008-05-27,Christine Whitlock
63,tt0284303,2018-06-29,2018-06-29,,Megalodon,https://www.imdb.com/title/tt0284303/,video,2.9,90,2002,"Action, Adventure, Horror, Sci-Fi, Thriller",1926,2002-10-04,Pat Corbitt
