Case Number,Date,Year,Month,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species,href formula
2016.09.18.c,18-Sep-16,2016,9,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,16,Minor injury to thigh,N,13h00,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.c-NSB.pdf
2016.09.18.b,18-Sep-16,2016,9,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,36,Lacerations to hands,N,11h00,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.b-Luciano.pdf
2016.09.18.a,18-Sep-16,2016,9,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,43,Lacerations to lower leg,N,10h43,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.a-NSB.pdf
2016.09.17,17-Sep-16,2016,9,Unprovoked,AUSTRALIA,Victoria,Thirteenth Beach,Surfing,M,UNKNOWN,Struck by fin on chest & leg,N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.17-Angiolella.pdf
2016.09.15,16-Sep-16,2016,9,Unprovoked,AUSTRALIA,Victoria,Bells Beach,Surfing,M,UNKNOWN,No injury: Knocked off board by shark,N,UNKNOWN,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.16-BellsBeach.pdf
2016.09.15.R,15-Sep-16,2016,9,Boat,AUSTRALIA,Western Australia,Bunbury,Fishing,UNKNOWN,UNKNOWN,Shark rammed boat. No injury to occupant,N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.15.R-boat.pdf
2016.09.11,11-Sep-16,2016,9,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Wading,M,60s,Minor injury to arm,N,15h15,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.11-PonteVedra.pdf
2016.09.07,07-Sep-16,2016,9,Unprovoked,USA,Hawaii,"Makaha, Oahu",Swimming,F,51,Severe lacerations to shoulder & forearm,N,14h30,Tiger Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.07-Oahu.pdf
2016.09.06,06-Sep-16,2016,9,Unprovoked,NEW CALEDONIA,North Province,Koumac,Kite surfing,M,50,FATAL,Y,15h40,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.06-Jewell.pdf
2016.09.05.b,05-Sep-16,2016,9,Unprovoked,USA,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",Boogie boarding,F,12,Lacerations & punctures to lower right leg,N,Late afternoon,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.05.b-Williams.pdf
2016.09.05.a,05-Sep-16,2016,9,Unprovoked,AUSTRALIA,Western Australia,Injidup ,Surfing,M,UNKNOWN,"No inury, board broken in half by shark",N,Late afternoon,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.05.a-Penman.pdf
2016.09.04,04-Sep-16,2016,9,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Body boarding,M,9,Foot bitten,N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.04-Moore.pdf
2016.09.01,01-Sep-16,2016,9,Unprovoked,USA,California,"Refugio State Beach, Santa Barbara County",Spearfishing,M,22,Two toes broken & lacerated,N,UNKNOWN,White Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.01-McQuillen.pdf
2016.08.29.b,29-Aug-16,2016,8,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,25,Lacerations to right foot,N,15h00,Bull Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.29.b-Cumiskey.pdf
2016.08.29.a,29-Aug-16,2016,8,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,37,Minor injury to ankle,N,14h00,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.29.a-NSB.pdf
2016.08.27,27-Aug-16,2016,8,Unprovoked,REUNION,UNKNOWN,Boucan Canot,Surfing,M,20,"Right arm severed, ankle severely bitten ",N,17h00,Bull Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.27-Chardard.pdf
2016.08.25,25-Aug-16,2016,8,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Wading,M,49,Minor injury to ankle,N,16h00,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.25-Cassetty.pdf
2016.08.07,07-Aug-16,2016,8,Unprovoked,BAHAMAS,New Providence Island,Nassau,Snorkeling,M,15,Lacerations to left leg,N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.07-Stoch.pdf
2016.08.06,06-Aug-16,2016,8,Unprovoked,USA,Hawaii,Maui,SUP Foil boarding,M,21,"No inury, shark & board collided",N,UNKNOWN,Tiger Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.06-Baxter.pdf
2016.08.04,04-Aug-16,2016,8,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,22,Big toe bitten,N,UNKNOWN,Blacktip Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.04-Tyler.pdf
2016.07.29,29-Jul-16,2016,7,Unprovoked,SPAIN,Alicante Province,Arenales del Sol,Swimming,M,40,Lacerations to right hand,N,11h30,Blue Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.29-Spain.pdf
2016.07.28.R,28-Jul-16,2016,7,Unprovoked,CHINA,Hong Kong,UNKNOWN,Swimming,M,72,Lacerations to leg,N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.28.R-Franz.pdf
2016.07.28,28-Jul-16,2016,7,Boat,AUSTRALIA,Western Australia,Near Albany,Kayaking,M,UNKNOWN,"No injury, shark nudged kayak repeatedly",N,UNKNOWN,White Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.28-Watkins.pdf
2016.07.27,27-Jul-16,2016,7,Provoked,USA,Florida,"Florida Keys, Monroe County",Lobstering,M,43,Laceration to left forearm PROVOKED INCIDENT,N,UNKNOWN,Nurse Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.27-Sapp.pdf
2016.07.26,26-Jul-16,2016,7,Unprovoked,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,M,18,"No injury. Leg rope severed, knocked off board by shark",N,12h00,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.26-Ballina.pdf
2016.07.24,24-Jul-16,2016,7,Unprovoked,JAPAN,Kochi Prefecture,Irino Beach,Surfing,M,29,Lacerations to left leg,N,19h05,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.24-Japan.pdf
2016.07.23.b,23-Jul-16,2016,7,Unprovoked,AUSTRALIA,Tasmania,Clifton Beach,Surfing,M,36,Calf bumped but no injury,N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.23.b-Critchlow.pdf
2016.07.23.a,23-Jul-16,2016,7,Unprovoked,BAHAMAS,Abaco Islands,Green Turtle Cay,Spearfishing,M,UNKNOWN,Lacerations to face and right leg,N,UNKNOWN,Bull Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.23.a-Cutbirth.pdf
2016.07.20,20-Jul-16,2016,7,Provoked,AUSTRALIA,Queensland,"20 k off The Spit, off the Gold Coast",Fishing,M,31,Laceration to left calf from hooked shark PROVOKED INCIDENT,N,After noon,,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.20-Burck.pdf
2016.07.17,17-Jul-16,2016,7,Boat,USA,Alabama,8 miles off Mobile,Fishing in Alabama Deep Fishing Rodeo,UNKNOWN,UNKNOWN,"No injury, shark bit trolling motor",N,UNKNOWN,Tiger Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.17-Gulf.pdf
2016.07.16.b,16-Jul-16,2016,7,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,9,Minor injury to leg,N,1300,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.16.b-NSB.pdf
2016.07.16.a,16-Jul-16,2016,7,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",UNKNOWN,F,11,Minor injury to toes,N,11h00,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.16.a-NSB.pdf
2016.07.15,15-Jul-16,2016,7,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",Swimming,M,UNKNOWN,Puncture wounds to foot,N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.14-MyrtleBeach.pdf
2016.07.14.4,Reported  14-Jul-2016,2016,7,Unprovoked,BAHAMAS,UNKNOWN,Tiger Beach,Scuba Diving,M,UNKNOWN,Face bruised when partly blind shark collided with him,N,UNKNOWN,Lemon Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.14.R-TigerBeach.pdf
2016.07.08.R,Reported 08-Jul-2016,2016,7,Unprovoked,SPAIN,Canary Islands,"Las Teresitas, Tenerife",Wading,F,10,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",N,UNKNOWN,Angel shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.08.R-Spain.pdf
2016.07.08,08-Jul-16,2016,7,Boat,USA,California,"Capitola, Santa Cruz County",Fishing for squid,M,UNKNOWN,"No injury. Hull bitten, tooth fragment recovered",N,UNKNOWN,White Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.08-CapitolaBoat.pdf
2016.07.07.b,07-Jul-16,2016,7,Provoked,USA,Massachusetts,"Off Gloucester, Essec County",Fishing,M,59,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,N,10h00,Dogfish Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.07.b-Brissom.pdf
2016.07.07.a,07-Jul-16,2016,7,Boat,USA,California,"Off Palos Verdes peninsula, Los Angeles County",Fishing for sharks,M,UNKNOWN,"No injury. Hull bitten, tooth fragment recovered",N,UNKNOWN,White Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.07.a-PoeBoat.pdf
2016.07.06,06-Jul-16,2016,7,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,F,42,"Buttocks, thigh, left hand & wrist injured",N,14h30 / 15h30,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.06-Njwoman.pdf
2016.07.04,04-Jul-16,2016,7,Provoked,AUSTRALIA,Queensland,Palm Cove ,Fishing,M,34,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,N,22h00,Nurse Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.04-Oliver.pdf
2016.06.27,27-Jun-16,2016,6,Unprovoked,USA,South Carolina,Sullivan's Island,UNKNOWN,M,35,Minor injury,N,16h20,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.27-Sullivans.pdf
2016.06.25,25-Jun-16,2016,6,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Surfing,M,11,Foot injured,N,14h34,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.25-AtlanticBeach.pdf
2016.06.24,24-Jun-16,2016,6,Unprovoked,COLUMBIA,Isla Provedencia,UNKNOWN,Scuba Diving,M,59,Severe bite to right hand,N,11h00,,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.24-Velez.pdf
2016.06.23,23-Jun-16,2016,6,Unprovoked,SOUTH AFRICA,Western Cape Province,Ryspunt,Spearfishing,M,43,Injuries to left leg & right hand,N,UNKNOWN,White Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.23-Rysport.pdf
2016.06.21.b,21-Jun-16,2016,6,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",Floating,M,42,Lacerations and punctures to foot,N,15h25,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.21.b-Schott.pdf
2016.06.21.a,21-Jun-16,2016,6,Unprovoked,USA,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",Wading,M,UNKNOWN,Injuries to right calf,N,14h55,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.21.a-SatelliteBeach.pdf
2016.06.15.b,15-Jun-16,2016,6,Unprovoked,USA,Hawaii,"Kalapaki Beach, Kauai",Surfing,M,UNKNOWN,Single puncture wound to arm,N,06h00,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.15.b-Kauai.pdf
2016.06.15.a,15-Jun-16,2016,6,Provoked,AUSTRALIA,Western Australia,Coral Bay,Spearfishing,M,19,No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT,N,UNKNOWN,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.15.a-Vale.pdf
2016.06.14,14-Jun-16,2016,6,Unprovoked,USA,Texas,"Pirates Beach, Galveston",Floating in tube,F,6,Injury to lower leg,N,17h30,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.14-Melton.pdf
2016.06.11,11-Jun-16,2016,6,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Standing,M,19,Laceration to wrist,N,15h00,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.11-Bowen.pdf
2016.06.07,07-Jun-16,2016,6,Invalid,USA,South Carolina,"Folly Beach, Charleston County",Surfing,M,27,"No injury, board damaged",N,11h30,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.07-Oneill.pdf
2016.06.05.b,05-Jun-16,2016,6,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",Swimming,M,64,Leg bitten,N,08h30,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.05.b-Flagler.pdf
2016.06.05.a,05-Jun-16,2016,6,Unprovoked,AUSTRALIA,Western Australia,Mindarie,Diving,F,60,FATAL,Y,11h30,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.05.a-Collyer.pdf
2016.06.04,04-Jun-16,2016,6,Unprovoked,EGYPT,Suez,Ain Sokhna,Swimming,M,23,"Leg severely bitten, surgically amputated",N,Morning,Shortfin Mako Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.04-Qader.pdf
2016.06.02.b,02-Jun-16,2016,6,Unprovoked,AUSTRALIA,New South Wales,Kingscliff,Spearfishing,M,UNKNOWN,"No injury, but sharks repeatedly hit their fins and guns",UNKNOWN,UNKNOWN,Bronze Whaler Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.02.b-Matigan.pdf
2016.06.02.a,02-Jun-16,2016,6,Unprovoked,NEW CALEDONIA,UNKNOWN," C�te-Blanche, Noum�a ",Kite surfing,M,UNKNOWN,Laceration to heel,N,Afternoon,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.02.a-Pierre.pdf
2016.05.31,31-May-16,2016,5,Unprovoked,AUSTRALIA,Western Australia,"Falcon Beach, Mandurah",Surfing,M,29,FATAL,Y,16h00,White Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.31-Gerring.pdf
2016.05.29.b,29-May-16,2016,5,Unprovoked,USA,California,"Corona Del Mar, Newport, Orange County",Swimming,F,52,Injuries to arm and shoulder,N,16h00,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.29.b-Corona.pdf
2016.05.29.a,29-May-16,2016,5,Unprovoked,USA,Florida,"Neptune, Duval County",Swimming,M,13,Injury to posterior right leg,N,15h45,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.29.a-Neptune.pdf
2016.05.22,22-May-16,2016,5,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Swimming,F,57,Puncture wounds to thigh,N,12h00,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.22-Marcus.pdf
2016.05.21.b,21-May-16,2016,5,Unprovoked,USA,Florida,"St. Petersburg, Pinellas County",Swimming,F,22,Lacerations and puncture wounds to foot and ankle,N,18h00,Bull Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.21.b-Magee.pdf
2016.05.21.a,21-May-16,2016,5,Unprovoked,USA,Florida,"Hugenot Beach , Jacksonville, Duval County",Swimming,F,11,"Back, arm & hand injured",N,17h46,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.21.a-Girl.pdf
2016.05.18,18-May-16,2016,5,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Swimming,M,48,Ankle bitten,N,Morning ,Blacktip Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.18-Wilson.pdf
2016.05.15,15-May-16,2016,5,Provoked,USA,Florida,"Boca Raton, Palm Beach County",Teasing a shark,F,23,Arm grabbed PROVOKED INCIDENT,N,13h20,Nurse Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.15-Boca.pdf
2016.05.03,03-May-16,2016,5,Unprovoked,USA,Hawaii,"Wailea Beach, Maui",Floating,M,59,Minor lacerations to right shoulder,N,15h49,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.03-Maui.pdf
2016.05.02,02-May-16,2016,5,Provoked,NEW ZEALAND,North Island,Cormandel,Fishing,M,39,Foot bitten by landed shark PROVOKED INCIDENT,N,Afternoon,Shortfin Mako Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.02-NZ-pdf
2016.04.25,25-Apr-16,2016,4,Unprovoked,INDONESIA,Bali,Balian,Surfing,M,24,Elbow bitten,N,07h00,Bull Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.25-Boarman.pdf
2016.04.23,23-Apr-16,2016,4,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,15,Minor injury to left foot,N,17h30,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.23-Beardall.pdf
2016.04.22,22-Apr-16,2016,4,Unprovoked,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",Surf-skiing,M,UNKNOWN,"No injury, surf-ski bitten",N,08h00,White Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.22-Manson.pdf
2016.04.19,19-Apr-16,2016,4,Unprovoked,AUSTRALIA,New South Wales,"First Sun Beach, Byron Bay",Swimming,M,12,Minor puncture wound to foot,N,12h00,Wobbegong Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.19-Kedem.pdf
2016.04.18,18-Apr-16,2016,4,Provoked,FRENCH POLYNESIA,Tuamotos,Makemo Atoll,Spearfishing,M,26,"Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT",N,UNKNOWN,Gray Reef Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.18-Tokoragi.pdf
2016.04.13,13-Apr-16,2016,4,Unprovoked,USA,Florida,"Off Singer Island, Palm Beach County",Spearfishing,M,26,Multiple bites to right arm,N,UNKNOWN,Bull Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.13-Senkowicz.pdf
2016.04.09,09-Apr-16,2016,4,Unprovoked,NEW CALEDONIA,Grand Terre,Poe Beach,Walking,F,69,FATAL,Y,10h45,Tiger Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.09-Malignon.pdf
2016.04.08,08-Apr-16,2016,4,Invalid,CAPE VERDE,Boa Vista Island,UNKNOWN,UNKNOWN,M,60,"""Serious""",N,UNKNOWN,Shark involvement not confirmed,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.08-CapeVerde.pdf
2016.04.07.b,07-Apr-16,2016,4,Unprovoked,USA,Florida,"Florida Keys, Monroe County",Fishing,M,34,Left hand bitten,N,UNKNOWN,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.07.b-Lester.pdf
2016.04.07.a,07-Apr-16,2016,4,Invalid,USA,Florida,"Corners Beach, Jupiter, Palm Beach County",SUP,M,UNKNOWN,Fell off board when spinner shark leapt from the water next to him. No injury to surfer,N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.07.a-Trinidad.pdf
2016.03.31,31-Mar-16,2016,3,Unprovoked,USA,Hawaii,"Olowalu, Maui",Snorkeling,F,46,Minor injury to left foot,N,11h00,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.31-Orr.pdf
