,Case Number,Date,Year,Type,Country,Area,Location,Activity,Sex ,Age,Fatal (Y/N)
7,2016.09.07,Sep,2016,Unprovoked,USA,Hawaii,"Makaha, Oahu",Swimming,F,51,N
9,2016.09.05.b,Sep,2016,Unprovoked,USA,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",Boogie boarding,F,12,N
30,2016.07.16.b,Jul,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,9,N
31,2016.07.16.a,Jul,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Unknown,F,11,N
34,2016.07.08.R,Jul,2016,Unprovoked,SPAIN,Canary Islands,"Las Teresitas, Tenerife",Wading,F,10,N
38,2016.07.06,Jul,2016,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,F,42,N
48,2016.06.14,Jun,2016,Unprovoked,USA,Texas,"Pirates Beach, Galveston",Floating in tube,F,6,N
52,2016.06.05.a,Jun,2016,Unprovoked,AUSTRALIA,Western Australia,Mindarie,Diving,F,60,Y
57,2016.05.29.b,May,2016,Unprovoked,USA,California,"Corona Del Mar, Newport, Orange County",Swimming,F,52,N
59,2016.05.22,May,2016,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Swimming,F,57,N
60,2016.05.21.b,May,2016,Unprovoked,USA,Florida,"St. Petersburg, Pinellas County",Swimming,F,22,N
61,2016.05.21.a,May,2016,Unprovoked,USA,Florida,"Hugenot Beach , Jacksonville, Duval County",Swimming,F,11,N
63,2016.05.15,May,2016,Provoked,USA,Florida,"Boca Raton, Palm Beach County",Teasing a shark,F,23,N
72,2016.04.09,Apr,2016,Unprovoked,NEW CALEDONIA,Grand Terre,Poe Beach,Walking,F,69,Y
76,2016.03.31,Mar,2016,Unprovoked,USA,Hawaii,"Olowalu, Maui",Snorkeling,F,46,N
92,2016.02.05,Feb,2016,Unprovoked,AUSTRALIA,Queensland,Stradbroke Island,Walking,F,45,N
96,2016.01.25,Jan,2016,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai, ",Surfing,F,15,N
104,2015.12.25,Dec,2015,Unprovoked,SPAIN,Grand Canary Island,"Arinaga Beach, Aguimes, Gran Canaria",Swimming,F,38,N
111,2015.12.08,Dec,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Mpande,Swimming / Wading,F,22,N
116,2015.12.23,Nov,2015,Invalid,USA,Florida,"Paradise Beach, Melbourne, Brevard County",Surfing,F,9,N
118,2015.11.01.b,Nov,2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Wading,F,28,N
125,2015.10.17.c,Oct,2015,Unprovoked,MOZAMBIQUE,Inhambane Province,"Nahaduga, Inhambane Bay",Fishing for shrimp,F,35,Y
129,2015.10.09.b,Oct,2015,Unprovoked,USA,South Carolina,"Shipyard Beach Club, Hilton Head Island, Beaufort County",Boogie boarding,F,9,N
137,2015.09.26,Sep,2015,Unprovoked,AUSTRALIA,Queensland,"Russel Island, Frankland Group",Snorkeling,F,7,N
146,2015.09.06,Sep,2015,Unprovoked,USA,California,"El Pescador Beach, Los Angeles County",Stand-Up Paddleboarding,F,50,N
150,2015.09.01,Sep,2015,Unprovoked,THAILAND,Phuket,Karon Beach,Wading,F,37,N
152,2015.08.29.b,Aug,2015,Unprovoked,USA,California,"Morro Strand State Beach, San Luis Obispo County",Surfing,F,54,N
157,2015.08.19,Aug,2015,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Walking,F,10,N
163,2015.07.26.a,Jul,2015,Invalid,USA,South Carolina,"Edisto Beach, Colleton County",Floating,F,35,N
172,2015.07.04.b,Jul,2015,Unprovoked,BAHAMAS,Grand Bahama Island,"Port Lucaya, Freeport",Spearfishing,F,23,N
187,2015.06.24.a,Jun,2015,Invalid,AUSTRALIA,Western Australia,Denmark,Surfing,F,37,N
192,2015.06.14.a,Jun,2015,Unprovoked,USA,North Carolina,"Oak Island, Brunswick County",Wading,F,12,N
194,2015.06.11,Jun,2015,Unprovoked,USA,North Carolina,"Ocean Isle, Brunswick County",Boogie boarding,F,13,N
196,2015.06.05,Jun,2015,Unprovoked,USA,Florida,Fort Lauderdale,Attempting to rescue a shark,F,17,N
198,2015.05.29.b,May,2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Standing,F,14,N
199,2015.05.29.a,May,2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,F,19,N
201,2015.05.24,May,2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,F,13,N
208,2015.04.29,Apr,2015,Unprovoked,USA,Hawaii,Kanahena Cove ,Snorkeling,F,65,Y
226,2015.02.14,Feb,2015,Unprovoked,REUNION,d��tang-Sal�,Ravine Mula,Swimming,F,22,Y
238,2015.01.06,Jan,2015,Unprovoked,BAHAMAS,Abaco Islands,"Tahiti Beach, Elbow Cay",Snorkeling,F,34,N
258,2014.10.31,Oct,2014,Unprovoked,USA,Hawaii,"North Kohala, Hawaii County",Surfing,F,34,N
264,2014.10.17,Oct,2014,Unprovoked,AUSTRALIA,New South Wales,Avoca Beach,Surfing,F,13,N
265,2014.10.14,Oct,2014,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",Standing in inner tube,F,7,N
267,2014.10.07,Oct,2014,Unprovoked,USA,Florida,"Cherie Down Park, Brevard County",Fishing,F,40,N
276,2014.09.13.R,Sep,2014,Unprovoked,FRENCH POLYNESIA,Moorea,Tiahura Lagoon,Feeding fish,F,36,N
280,2014.09.03,Sep,2014,Unprovoked,USA,Massachusetts,"Manomet Point, Plymouth, Plymouth County",Kayaking ,F,20,N
283,2014.08.31,Aug,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Body surfing,F,13,N
287,2014.08.27.c,Aug,2014,Unprovoked,SPAIN,Alicante,Benidorm,Swimming,F,30,N
296,2014.08.09,Aug,2014,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Swimming,F,10,N
299,2014.08.05,Aug,2014,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,F,45,N
325,2014.06.07,Jun,2014,Unprovoked,USA,Texas,"West Beach, Galveston",Kneeling in the water,F,14,N
326,2014.06.01.c,Jun,2014,Unprovoked,USA,Florida,Fort Lauderdale,Swimming,F,22,N
328,2014.06.01.a,Jun,2014,Unprovoked,USA,Palmyra Atoll,Unknown,Tagging sharks,F,37,N
329,2014.05.27.R,May,2014,Unprovoked,AUSTRALIA,Queensland,Nerang River near Chevron Island,Fell into the water,F,29,N
333,2014.05.15,May,2014,Unprovoked,USA,Florida,"Juan Ponce de Le�n Landing, Melbourne Beach, Brevard County",Body boarding,F,38,N
335,2014.05.13,May,2014,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Wading,F,44,N
338,2014.05.06,May,2014,Unprovoked,USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",Swimming,F,40,N
341,2014.04.22,Apr,2014,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,M ,42,N
347,2014.04.03,Apr,2014,Unprovoked,AUSTRALIA,New South Wales,Tathra,Swimming,F,63,Y
355,2014.03.18,Mar,2014,Invalid,AUSTRALIA,New South Wales,Lennox Head,Unknown,F,10,N
375,2013.11.29,Nov,2013,Unprovoked,USA,Hawaii,"Keawekapu Beach, Kihei, Maui",Snorkeling,F,58,N
383,2013.10.28,Oct,2013,Unprovoked,AUSTRALIA,Western Australia,Turquoise Bay,Snorkeling,F,60,N
400,2013.09.12,Sep,2013,Unprovoked,USA,Florida,"New Smyrna Beach,  Volusia County",Surfing,F,13,N
410,2013.08.29,Aug,2013,Invalid,USA,California,Catalina Channel,Marathon swimming,F,47,N
412,2013.08.25.b,Aug,2013,Unprovoked,USA,Florida,"Winterhaven Park,           Ponce Inlet, Volusia County",Boogie boarding,F,11,N
416,2013.08.14,Aug,2013,Unprovoked,USA,Hawaii,"Makenat, Maui",Snorkeling,F,20,Y
417,2013.08.13,Aug,2013,Unprovoked,USA,Hawaii,"Ka'a Point, Maui",Kiteboarding,F,19,N
421,2013.07.31,Jul,2013,Unprovoked,USA,Hawaii,"Ulua Beach, Maui",Snorkeling,F,56,N
428,2013.07.22,Jul,2013,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Swimming,F,18,Y
429,2013.07.19,Jul,2013,Unprovoked,USA,Alabama,"Gulf Shores, Baldwin County",Walking in surf,F,50,N
431,2013.07.15,Jul,2013,Unprovoked,REUNION,Saint-Paul,Le cimeti�re marin,Swimming & snorkeling,F,15,Y
433,2013.07.11,Jul,2013,Unprovoked,USA,North Carolina,Holden Beach. Brunswick County,Wading,F,63,N
445,2013.06.14.R,Jun,2013,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Boogie Boarding,F,10,N
