,Year,Movies
0,1949,0.0
1,1950,1.0
2,1951,0.0
3,1952,0.0
4,1953,0.0
5,1954,0.0
6,1955,0.0
7,1956,0.0
8,1957,0.0
9,1958,1.0
10,1959,0.0
11,1960,0.0
12,1961,0.0
13,1962,0.0
14,1963,1.0
15,1964,0.0
16,1965,0.0
17,1966,0.0
18,1967,0.0
19,1968,0.0
20,1969,1.0
21,1970,0.0
22,1971,0.0
23,1972,0.0
24,1973,0.0
25,1974,0.0
26,1975,2.0
27,1976,1.0
28,1977,2.0
29,1978,2.0
30,1979,3.0
31,1980,0.0
32,1981,1.0
33,1982,0.0
34,1983,1.0
35,1984,1.0
36,1985,0.0
37,1986,0.0
38,1987,1.0
39,1988,1.0
40,1989,0.0
41,1990,1.0
42,1991,0.0
43,1992,0.0
44,1993,0.0
45,1994,0.0
46,1995,0.0
47,1996,1.0
48,1997,0.0
49,1998,0.0
50,1999,1.0
51,2000,0.0
52,2001,2.0
53,2002,0.0
54,2003,2.0
55,2004,1.0
56,2005,2.0
57,2006,1.0
58,2007,0.0
59,2008,1.0
60,2009,0.0
61,2010,1.0
62,2011,3.0
63,2012,7.0
64,2013,0.0
65,2014,3.0
66,2015,6.0
67,2016,5.0
