,Code,Year,Muertos
0,AUS,1941,1
1,AUS,1942,3
2,AUS,1943,1
3,AUS,1944,1
4,AUS,1945,1
5,AUS,1946,4
6,AUS,1947,2
7,AUS,1948,3
8,AUS,1949,4
9,AUS,1950,3
10,AUS,1951,4
11,AUS,1954,3
12,AUS,1955,3
13,AUS,1956,2
14,AUS,1958,2
15,AUS,1959,2
16,AUS,1960,1
17,AUS,1961,3
18,AUS,1962,3
19,AUS,1963,2
20,AUS,1964,2
21,AUS,1965,1
22,AUS,1966,2
23,AUS,1967,4
24,AUS,1971,2
25,AUS,1972,2
26,AUS,1974,1
27,AUS,1975,3
28,AUS,1976,1
29,AUS,1977,4
30,AUS,1982,2
31,AUS,1983,2
32,AUS,1984,1
33,AUS,1985,1
34,AUS,1987,2
35,AUS,1988,3
36,AUS,1989,2
37,AUS,1990,1
38,AUS,1991,1
39,AUS,1992,1
40,AUS,1993,3
41,AUS,1995,1
42,AUS,1996,1
43,AUS,1997,2
44,AUS,1998,2
45,AUS,1999,1
46,AUS,2000,5
47,AUS,2001,1
48,AUS,2002,3
49,AUS,2003,1
50,AUS,2004,3
51,AUS,2005,2
52,AUS,2006,2
53,AUS,2007,2
54,AUS,2008,2
55,AUS,2010,2
56,AUS,2011,6
57,AUS,2012,3
58,AUS,2013,3
59,AUS,2014,6
60,AUS,2015,2
61,AUS,2016,2
62,BGD,1975,1
63,BHS,1965,1
64,BHS,1968,1
65,BHS,1983,1
66,BHS,1991,1
67,BHS,2008,1
68,BHS,2010,1
69,BHS,2014,1
70,BLZ,2006,1
71,BRA,1942,1
72,BRA,1943,1
73,BRA,1947,2
74,BRA,1974,1
75,BRA,1980,1
76,BRA,1992,2
77,BRA,1993,1
78,BRA,1994,2
79,BRA,1995,2
80,BRA,1996,1
81,BRA,1997,1
82,BRA,1998,2
83,BRA,2001,1
84,BRA,2002,4
85,BRA,2003,1
86,BRA,2004,3
87,BRA,2006,4
88,BRA,2009,4
89,BRA,2011,1
90,BRA,2012,1
91,BRA,2013,2
92,CHL,1963,1
93,CHL,1980,1
94,CHL,1988,1
95,CHN,1949,1
96,CRI,1956,1
97,CRI,1964,1
98,CRI,2007,1
99,CRI,2011,1
100,CUB,1942,1
101,CUB,1956,1
102,DOM,1963,1
103,DOM,1987,1
104,DOM,1996,1
105,DOM,2010,1
106,EGY,1970,1
107,EGY,1997,1
108,EGY,2004,2
109,EGY,2009,1
110,EGY,2010,1
111,EGY,2015,1
112,FJI,1959,1
113,FJI,1960,1
114,FJI,1964,3
115,FJI,1995,1
116,FJI,2000,1
117,FJI,2001,1
118,FJI,2002,1
119,FJI,2003,1
120,FJI,2008,1
121,FJI,2010,1
122,FJI,2016,1
123,GAB,1956,1
124,GBR,1956,2
125,GRC,1948,1
