,SEX,AGE,ACTIVITY,COUNTRY,MONTH,YEAR,SPECIES,TYPE,FATAL,INJURY
0,F,Adult,Paddling,USA,6,2018,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
6,M,Youth,Swimming,BRAZIL,6,2018,Tiger shark,Unprovoked,Y,FATAL
8,M,Youth,Walking,USA,5,2018,Bull shark,Unprovoked,N,LOWER EXTREMITIES
10,M,Young Adult,Feeding,AUSTRALIA,5,2018,Non defined,Provoked,N,OTHERS
18,M,Young Adult,diving,COSTA RICA,4,2018,Tiger shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
21,M,Adult,Surfing,AUSTRALIA,4,2018,Non defined,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
23,M,Young Adult,Fishing,MALDIVES,4,2018,Tiger shark,Unprovoked,N,OTHERS
24,M,Young Adult,skiing,SOUTH AFRICA,4,2018,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
34,M,Youth,Surfing,SOUTH AFRICA,4,2018,White shark,Unprovoked,N,LOWER EXTREMITIES
35,M,Young Adult,Paddleboarding,USA,3,2018,Tiger shark,Unprovoked,N,LOWER EXTREMITIES
36,M,Children,Wading,AUSTRALIA,3,2018,Non defined,Unprovoked,N,LOWER EXTREMITIES
37,M,Senior,Swimming,AUSTRALIA,3,2018,Non defined,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
38,M,Youth,Surfing,AUSTRALIA,3,2018,Non defined,Unprovoked,N,LOWER EXTREMITIES
40,F,Adult,Swimming,AUSTRALIA,2,2018,White shark,Unprovoked,N,LOWER EXTREMITIES
42,M,Young Adult,Walking,AUSTRALIA,2,2018,Bull shark,Unprovoked,N,LOWER EXTREMITIES
51,M,Youth,Surfing,BRAZIL,1,2018,Non defined,Unprovoked,N,OTHERS
53,F,Adult,Surfing,USA,12,2017,Tiger shark,Unprovoked,N,LOWER EXTREMITIES
60,M,Young Adult,Spearfishing,USA,11,2017,White shark,Unprovoked,N,LOWER EXTREMITIES
63,M,Young Adult,Surfing,AUSTRALIA,11,2017,Non defined,Unprovoked,N,OTHERS
64,M,Youth,bathing,CUBA,11,2017,Tiger shark,Unprovoked,Y,FATAL
66,M,Young Adult,Surfing,AUSTRALIA,1,2017,Non defined,Unprovoked,N,LOWER EXTREMITIES
71,F,Youth,Kayaking,AUSTRALIA,1,2017,White shark,Unprovoked,N,OTHERS
74,M,Adult,Surfing,USA,1,2017,Tiger shark,Unprovoked,N,OTHERS
75,F,Adult,Snorkeling,USA,1,2017,Non defined,Unprovoked,N,OTHERS
87,M,Youth,Surfing,USA,9,2017,Non defined,Unprovoked,N,LOWER EXTREMITIES
89,M,Young Adult,Surfing,AUSTRALIA,9,2017,White shark,Unprovoked,N,LOWER EXTREMITIES
96,M,Adult,Surfing,AUSTRALIA,8,2017,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
100,M,Senior,Undefined,USA,8,2017,White shark,Unprovoked,N,OTHERS
102,M,Children,Swimming,USA,8,2017,Non defined,Unprovoked,N,LOWER EXTREMITIES
104,M,Young Adult,Fishing,USA,8,2017,White shark,Provoked,N,LOWER EXTREMITIES
116,M,Adult,Kayaking,USA,7,2017,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
117,M,Adult,Undefined,USA,7,2017,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
121,M,Adult,Swimming,USA,7,2017,Bull shark,Unprovoked,N,LOWER EXTREMITIES
123,F,Children,Surfing,SOUTH AFRICA,7,2017,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
133,M,Adult,boarding,AUSTRALIA,6,2017,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
138,F,Young Adult,Snorkeling,BAHAMAS,6,2017,Tiger shark,Unprovoked,N,OTHERS
155,F,Youth,Surfing,AUSTRALIA,4,2017,White shark,Unprovoked,Y,FATAL
156,M,Young Adult,Surfing,USA,4,2017,Tiger shark,Unprovoked,N,LOWER EXTREMITIES
166,F,Youth,Swimming,USA,4,2017,Bull shark,Unprovoked,N,OTHERS
183,M,Adult,Diving,AUSTRALIA,1,2017,Bull shark,Unprovoked,N,OTHERS
186,M,Adult,Surfing,INDONESIA,1,2017,Bull shark,Unprovoked,N,OTHERS
192,M,Adult,skiing,SOUTH AFRICA,12,2016,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
196,M,Youth,fishing,AUSTRALIA,12,2016,Non defined,Provoked,N,OTHERS
197,M,Senior,Surfing,AUSTRALIA,12,2016,White shark,Unprovoked,N,LOWER EXTREMITIES
198,M,Senior,Fishing,AUSTRALIA,11,2016,Non defined,Provoked,N,OTHERS
199,F,Adult,Floating,USA,11,2016,Tiger shark,Unprovoked,N,OTHERS
203,M,Adult,Surfing,USA,1,2016,Non defined,Unprovoked,N,LOWER EXTREMITIES
211,M,Youth,Surfing,AUSTRALIA,9,2016,White shark,Unprovoked,N,OTHERS
219,M,Children,Wading,USA,9,2016,White shark,Unprovoked,N,OTHERS
220,F,Adult,Swimming,USA,9,2016,Tiger shark,Unprovoked,N,OTHERS
227,M,Young Adult,Surfing,USA,8,2016,Bull shark,Unprovoked,N,LOWER EXTREMITIES
232,M,Youth,boarding,USA,8,2016,Tiger shark,Unprovoked,N,OTHERS
234,M,Adult,Swimming,SPAIN,7,2016,Non defined,Unprovoked,N,OTHERS
242,M,Young Adult,Fishing,AUSTRALIA,7,2016,Non defined,Provoked,N,OTHERS
246,M,Adult,surfing,USA,7,2016,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
251,M,Adult,Fishing,USA,7,2016,Non defined,Provoked,N,OTHERS
254,M,Young Adult,Fishing,AUSTRALIA,7,2016,Non defined,Provoked,N,OTHERS
259,M,Adult,Floating,USA,6,2016,Non defined,Unprovoked,N,LOWER EXTREMITIES
263,F,Children,Floating,USA,6,2016,White shark,Unprovoked,N,LOWER EXTREMITIES
264,M,Youth,Standing,USA,6,2016,Non defined,Unprovoked,N,OTHERS
267,F,Adult,Diving,AUSTRALIA,6,2016,Non defined,Unprovoked,Y,FATAL
268,M,Youth,Swimming,EGYPT,6,2016,Non defined,Unprovoked,N,LOWER EXTREMITIES
271,M,Young Adult,Surfing,AUSTRALIA,5,2016,White shark,Unprovoked,Y,FATAL
273,M,Children,Swimming,USA,5,2016,Non defined,Unprovoked,N,LOWER EXTREMITIES
275,F,Youth,Swimming,USA,5,2016,Bull shark,Unprovoked,N,LOWER EXTREMITIES
277,M,Adult,Swimming,USA,5,2016,Non defined,Unprovoked,N,LOWER EXTREMITIES
278,F,Youth,Teasing,USA,5,2016,Non defined,Provoked,N,OTHERS
280,M,Adult,Fishing,NEW ZEALAND,5,2016,Non defined,Provoked,N,LOWER EXTREMITIES
281,M,Youth,Surfing,INDONESIA,4,2016,Bull shark,Unprovoked,N,OTHERS
284,M,Children,Swimming,AUSTRALIA,4,2016,Non defined,Unprovoked,N,LOWER EXTREMITIES
285,M,Youth,Spearfishing,FRENCH POLYNESIA,4,2016,Non defined,Provoked,N,LOWER EXTREMITIES
286,M,Young Adult,Spearfishing,FRENCH POLYNESIA,4,2016,Non defined,Provoked,N,OTHERS
288,F,Senior,Walking,NEW CALEDONIA,4,2016,Tiger shark,Unprovoked,Y,FATAL
316,M,Adult,boarding,USA,1,2016,Tiger shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
318,M,Children,Wading,AUSTRALIA,1,2016,Non defined,Unprovoked,N,OTHERS
319,M,Young Adult,Spearfishing,AUSTRALIA,1,2016,Non defined,Unprovoked,N,LOWER EXTREMITIES
322,M,Senior,boarding,USA,12,2015,Non defined,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
323,M,Adult,Surfing,AUSTRALIA,12,2015,Non defined,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
329,M,Adult,Snorkeling,ECUADOR,11,2015,Non defined,Unprovoked,N,OTHERS
333,M,Youth,Surfing,AUSTRALIA,11,2015,Bull shark,Unprovoked,N,OTHERS
336,F,Young Adult,Wading,USA,11,2015,Non defined,Unprovoked,N,LOWER EXTREMITIES
340,M,Adult,Surfing,SOUTH AFRICA,1,2015,White shark,Unprovoked,N,LOWER EXTREMITIES
341,M,Youth,Surfing,USA,1,2015,Non defined,Unprovoked,N,OTHERS
342,M,Youth,Surfing,USA,1,2015,Non defined,Unprovoked,N,LOWER EXTREMITIES
345,M,Adult,Swimming,USA,1,2015,Tiger shark,Unprovoked,N,LOWER EXTREMITIES
348,M,Young Adult,Surfing,USA,1,2015,Tiger shark,Unprovoked,N,LOWER EXTREMITIES
352,M,Children,Wading,USA,1,2015,Non defined,Unprovoked,N,LOWER EXTREMITIES
353,M,Children,Surfing,USA,1,2015,Non defined,Unprovoked,N,OTHERS
354,M,Youth,Surfing,USA,9,2015,Non defined,Unprovoked,N,LOWER EXTREMITIES
357,M,Children,Surfing,USA,9,2015,Non defined,Unprovoked,N,LOWER EXTREMITIES
