Month,Year,Type,Country,Area,Location,Activity,Sex,Age,Age range,Injury,Fatal,Time,Time of day,Species,Case Number,Date
9,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,16,12-17,Minor injury to thigh,N,13h00,1. Afternoon,Unknown,2016.09.18.c,18-Sep-16
9,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,36,35-44,Lacerations to hands,N,11h00,0. Morning,Unknown,2016.09.18.b,18-Sep-16
9,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,43,35-44,Lacerations to lower leg,N,10h43,0. Morning,Unknown,2016.09.18.a,18-Sep-16
9,2016,Unprovoked,AUSTRALIA,Victoria,Thirteenth Beach,Surfing,M,0,Unknown,Struck by fin on chest & leg,N,Unknown,Unknown,Unknown,2016.09.17,17-Sep-16
9,2016,Unprovoked,AUSTRALIA,Victoria,Bells Beach,Surfing,M,0,Unknown,No injury: knocked off board by shark,N,Unknown,Unknown,2 M Shark,2016.09.15,16-Sep-16
9,2016,Boat,AUSTRALIA,Western Australia,Bunbury,Fishing,Unknown,0,Unknown,Shark rammed boat. no injury to occupant,N,Unknown,Unknown,Unknown,2016.09.15.R,15-Sep-16
9,2016,Unprovoked,USA,Hawaii,"Makaha, Oahu",Swimming,F,51,45-54,Severe lacerations to shoulder & forearm,N,14h30,1. Afternoon,"Tiger Shark, 10?",2016.09.07,07-Sep-16
9,2016,Unprovoked,NEW CALEDONIA,North Province,Koumac,Kite surfing,M,50,45-54,Fatal,Y,15h40,1. Afternoon,Unknown,2016.09.06,06-Sep-16
9,2016,Unprovoked,USA,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",Boogie boarding,F,12,12-17,Lacerations & punctures to lower right leg,N,14h00,1. Afternoon,Unknown,2016.09.05.b,05-Sep-16
9,2016,Unprovoked,AUSTRALIA,Western Australia,Injidup,Surfing,M,0,Unknown,"No inury, board broken in half by shark",N,14h00,1. Afternoon,Unknown,2016.09.05.a,05-Sep-16
9,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Body boarding,M,9,1-12,Foot bitten,N,Unknown,Unknown,Unknown,2016.09.04,04-Sep-16
9,2016,Unprovoked,USA,California,"Refugio State Beach, Santa Barbara County",Spearfishing,M,22,18-24,Two toes broken & lacerated,N,Unknown,Unknown,White Shark,2016.09.01,01-Sep-16
8,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,25,25-34,Lacerations to right foot,N,15h00,1. Afternoon,"Bull Shark, 6'",2016.08.29.b,29-Aug-16
8,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,37,35-44,Minor injury to ankle,N,14h00,1. Afternoon,Unknown,2016.08.29.a,29-Aug-16
8,2016,Unprovoked,REUNION,Unknown,Boucan Canot,Surfing,M,20,18-24,"Right arm severed, ankle severely bitten",N,17h00,1. Afternoon,"Bull Shark, 3.5 M",2016.08.27,27-Aug-16
8,2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Wading,M,49,45-54,Minor injury to ankle,N,16h00,1. Afternoon,Unknown,2016.08.25,25-Aug-16
8,2016,Unprovoked,BAHAMAS,New Providence Island,Nassau,Snorkeling,M,15,12-17,Lacerations to left leg,N,Unknown,Unknown,Unknown,2016.08.07,07-Aug-16
8,2016,Unprovoked,USA,Hawaii,Maui,Sup foil boarding,M,21,18-24,"No inury, shark & board collided",N,Unknown,Unknown,"Tiger Shark, 10'",2016.08.06,06-Aug-16
8,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,22,18-24,Big toe bitten,N,Unknown,Unknown,Blacktip Shark,2016.08.04,04-Aug-16
7,2016,Unprovoked,SPAIN,Alicante Province,Arenales Del Sol,Swimming,M,40,35-44,Lacerations to right hand,N,11h30,0. Morning,Blue Shark,2016.07.29,29-Jul-16
7,2016,Boat,AUSTRALIA,Western Australia,Near Albany,Kayaking,M,0,Unknown,"No injury, shark nudged kayak repeatedly",N,Unknown,Unknown,White Shark,2016.07.28,28-Jul-16
7,2016,Provoked,USA,Florida,"Florida Keys, Monroe County",Lobstering,M,43,35-44,Laceration to left forearm provoked incident,N,Unknown,Unknown,"Nurse Shark, 4'",2016.07.27,27-Jul-16
7,2016,Unprovoked,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,M,18,18-24,"No injury. leg rope severed, knocked off board by shark",N,12h00,1. Afternoon,Unknown,2016.07.26,26-Jul-16
7,2016,Unprovoked,JAPAN,Kochi Prefecture,Irino Beach,Surfing,M,29,25-34,Lacerations to left leg,N,19h05,2. Evening,Unknown,2016.07.24,24-Jul-16
7,2016,Unprovoked,AUSTRALIA,Tasmania,Clifton Beach,Surfing,M,36,35-44,Calf bumped but no injury,N,Unknown,Unknown,Unknown,2016.07.23.b,23-Jul-16
7,2016,Unprovoked,BAHAMAS,Abaco Islands,Green Turtle Cay,Spearfishing,M,0,Unknown,Lacerations to face and right leg,N,Unknown,Unknown,"Bull Shark, 6'",2016.07.23.a,23-Jul-16
7,2016,Provoked,AUSTRALIA,Queensland,"20 K Off The Spit, Off The Gold Coast",Fishing,M,31,25-34,Laceration to left calf from hooked shark provoked incident,N,14h00,1. Afternoon,"Reef Shark, 1M",2016.07.20,20-Jul-16
7,2016,Boat,USA,Alabama,8 Miles Off Mobile,Fishing in alabama deep fishing rodeo,Unknown,0,Unknown,"No injury, shark bit trolling motor",N,Unknown,Unknown,"Tiger Shark, 10'",2016.07.17,17-Jul-16
7,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,9,1-12,Minor injury to leg,N,Unknown,Unknown,Unknown,2016.07.16.b,16-Jul-16
7,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Unknown,F,11,1-12,Minor injury to toes,N,11h00,0. Morning,Unknown,2016.07.16.a,16-Jul-16
7,2016,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",Swimming,M,0,Unknown,Puncture wounds to foot,N,Unknown,Unknown,Unknown,2016.07.15,15-Jul-16
7,2016,Unprovoked,BAHAMAS,Unknown,Tiger Beach,Scuba diving,M,0,Unknown,Face bruised when partly blind shark collided with him,N,Unknown,Unknown,"Lemon Shark, 9'",2016.07.14.4,Reported  14-Jul-2016
7,2016,Unprovoked,SPAIN,Canary Islands,"Las Teresitas, Tenerife",Wading,F,10,1-12,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",N,Unknown,Unknown,Angel Shark,2016.07.08.R,Reported 08-Jul-2016
7,2016,Boat,USA,California,"Capitola, Santa Cruz County",Fishing for squid,M,0,Unknown,"No injury. hull bitten, tooth fragment recovered",N,Unknown,Unknown,White Shark,2016.07.08,08-Jul-16
7,2016,Provoked,USA,Massachusetts,"Off Gloucester, Essec County",Fishing,M,59,55-64,Fin of hooked shark injured fisherman's forearm. . provoked incident,N,10h00,0. Morning,Dogfish Shark,2016.07.07.b,07-Jul-16
7,2016,Boat,USA,California,"Off Palos Verdes Peninsula, Los Angeles County",Fishing for sharks,M,0,Unknown,"No injury. hull bitten, tooth fragment recovered",N,Unknown,Unknown,White Shark,2016.07.07.a,07-Jul-16
