,Months,Year,Fatal (Y/N),Type,Country,Area,Cat_shark
103,12,2015,N,Boat,SOUTH AFRICA,KwaZulu-Natal,White Shark
104,12,2015,N,Unprovoked,SPAIN,Grand Canary Island,Other
105,12,2015,N,Unprovoked,USA,Hawaii,Other
106,12,2015,N,Unprovoked,AUSTRALIA,New South Wales,Bronze Shark
107,12,2015,N,Unprovoked,BRAZIL,Pernambuco,Tiger Shark
108,12,2015,Y,Unprovoked,ARUBA,,
109,12,2015,N,Boat,AUSTRALIA,New South Wales,White Shark
110,12,2015,N,Unprovoked,BAHAMAS,,Bull Shark
111,12,2015,N,Unprovoked,SOUTH AFRICA,Eastern Cape Province,
112,11,2015,N,Unprovoked,USA,Florida,
113,11,2015,N,Unprovoked,USA,Florida,
114,11,2015,N,Unprovoked,USA,Florida,Other
115,11,2015,N,Unprovoked,AUSTRALIA,New South Wales,Bull Shark
116,11,2015,N,Invalid,USA,Florida,
117,11,2015,N,Unprovoked,USA,Hawaii,
118,11,2015,N,Unprovoked,USA,Florida,Other
119,11,2015,N,Unprovoked,MOZAMBIQUE,Inhambane Province,
120,10,2015,N,Unprovoked,AUSTRALIA,Western Australia,
121,10,2015,N,Unprovoked,USA,Hawaii,
122,10,2015,N,Unprovoked,SOUTH AFRICA,Western Cape Province,White Shark
123,10,2015,N,Unprovoked,USA,Florida,Other
124,10,2015,N,Unprovoked,USA,Florida,Other
125,10,2015,Y,Unprovoked,MOZAMBIQUE,Inhambane Province,
126,10,2015,N,Invalid,USA,Hawaii,
127,10,2015,N,Unprovoked,USA,Hawaii,Tiger Shark
128,10,2015,N,Boat,USA,California,Other
129,10,2015,N,Unprovoked,USA,South Carolina,
130,10,2015,N,Unprovoked,USA,Hawaii,Tiger Shark
131,10,2015,N,Unprovoked,MOZAMBIQUE,Inhambane Province,
132,10,2015,N,Unprovoked,AUSTRALIA,Western Australia,
133,10,2015,N,Unprovoked,USA,Florida,
134,10,2015,N,Unprovoked,USA,Texas,Other
135,10,2015,N,Unprovoked,USA,Florida,Blacktip Shark
136,9,2015,N,Unprovoked,USA,Florida,Blacktip Shark
137,9,2015,N,Unprovoked,AUSTRALIA,Queensland,
138,9,2015,N,Unprovoked,USA,California,White Shark
139,9,2015,N,Unprovoked,USA,Florida,Other
140,9,2015,N,Unprovoked,USA,Hawaii,Tiger Shark
141,9,2015,N,Unprovoked,USA,Florida,Other
142,9,2015,N,Unprovoked,USA,Florida,
143,9,2015,N,Unprovoked,USA,Florida,
144,9,2015,N,Unprovoked,USA,Florida,
145,9,2015,N,Unprovoked,AUSTRALIA,New South Wales,Other
146,9,2015,N,Unprovoked,USA,California,White Shark
147,9,2015,N,Provoked,USA,California,Other
148,9,2015,N,Unprovoked,AUSTRALIA,New South Wales,White Shark
149,9,2015,N,Unprovoked,USA,South Carolina,Other
150,9,2015,N,Unprovoked,THAILAND,Phuket,Other
151,9,2015,N,Unprovoked,FIJI,,Tiger Shark
152,8,2015,N,Unprovoked,USA,California,White Shark
153,8,2015,N,Unprovoked,USA,California,White Shark
154,8,2015,N,Invalid,USA,Florida,
155,8,2015,N,Unprovoked,AUSTRALIA,New South Wales,
156,8,2015,N,Unprovoked,USA,South Carolina,Other
157,8,2015,N,Unprovoked,USA,Florida,Other
158,8,2015,N,Unprovoked,USA,California,White Shark
159,8,2015,N,Invalid,SPAIN,Alicante,
160,8,2015,N,Provoked,USA,California,Other
161,7,2015,N,Unprovoked,AUSTRALIA,New South Wales,White Shark
162,7,2015,N,Unprovoked,USA,Florida,Blacktip Shark
163,7,2015,N,Invalid,USA,South Carolina,
164,7,2015,Y,Unprovoked,AUSTRALIA,Tasmania,White Shark
