Year,Country,Area,Activity,Sex,Fatal (Y/N)
2016,USA,Florida,Surfing,M,N
2016,USA,Florida,Surfing,M,N
2016,USA,Florida,Surfing,M,N
2016,AUSTRALIA,Victoria,Surfing,M,N
2016,AUSTRALIA,Victoria,Surfing,M,N
2016,USA,Florida,Wading,M,N
2016,USA,Hawaii,Swimming,F,N
2016,USA,South Carolina,Boarding,F,N
2016,AUSTRALIA,Western Australia,Surfing,M,N
2016,USA,Florida,Boarding,M,N
2016,USA,California,Fishing,M,N
2016,USA,Florida,Surfing,M,N
2016,USA,Florida,Surfing,M,N
2016,USA,Florida,Wading,M,N
2016,USA,Hawaii,Boarding,M,N
2016,USA,Florida,Surfing,M,N
2016,AUSTRALIA,Western Australia,Paddling,M,N
2016,USA,Florida,Other,M,N
2016,AUSTRALIA,New South Wales,Surfing,M,N
2016,AUSTRALIA,Queensland,Fishing,M,N
2016,USA,Florida,Surfing,F,N
2016,USA,Florida,Unknown,F,N
2016,USA,South Carolina,Swimming,M,N
2016,USA,California,Fishing,M,N
2016,USA,California,Fishing,M,N
2016,USA,Florida,Swimming,F,N
2016,AUSTRALIA,Queensland,Fishing,M,N
2016,USA,South Carolina,Unknown,M,N
2016,USA,North Carolina,Surfing,M,N
2016,SOUTH AFRICA,Western Cape Province,Fishing,M,N
2016,USA,South Carolina,Swimming,M,N
2016,USA,Florida,Wading,M,N
2016,USA,Hawaii,Surfing,M,N
2016,AUSTRALIA,Western Australia,Fishing,M,N
2016,USA,Texas,Swimming,F,N
2016,USA,North Carolina,Wading,M,N
2016,USA,South Carolina,Surfing,M,N
2016,USA,Florida,Swimming,M,N
2016,AUSTRALIA,Western Australia,Diving,F,Y
2016,AUSTRALIA,Western Australia,Surfing,M,Y
2016,USA,California,Swimming,F,N
2016,USA,Florida,Swimming,M,N
2016,USA,Florida,Swimming,F,N
2016,USA,Florida,Swimming,F,N
2016,USA,Florida,Swimming,F,N
2016,USA,Florida,Swimming,M,N
2016,USA,Florida,Other,F,N
2016,USA,Hawaii,Swimming,M,N
2016,USA,Florida,Surfing,M,N
2016,SOUTH AFRICA,Western Cape Province,Water-Ski,M,N
2016,AUSTRALIA,New South Wales,Swimming,M,N
2016,USA,Florida,Fishing,M,N
2016,USA,Florida,Fishing,M,N
2016,USA,Florida,Other,M,N
2016,USA,Hawaii,Swimming,F,N
2016,AUSTRALIA,New South Wales,Surfing,M,N
2016,USA,Florida,Unknown,M,N
2016,AUSTRALIA,New South Wales,Surfing,M,N
2016,USA,Florida,Surfing,M,N
2016,USA,Florida,Unknown,M,N
2016,AUSTRALIA,South Australia,Fishing,M,N
2016,AUSTRALIA,Queensland,Wading,F,N
2016,AUSTRALIA,New South Wales,Surfing,M,N
2016,SOUTH AFRICA,KwaZulu-Natal,Fishing,M,N
2016,USA,Hawaii,Surfing,M,N
2016,USA,Hawaii,Surfing,F,N
2016,USA,Texas,Fishing,M,N
2016,USA,Hawaii,Boarding,M,N
2016,AUSTRALIA,Queensland,Surfing,M,N
2016,AUSTRALIA,Queensland,Wading,M,N
2016,AUSTRALIA,Queensland,Fishing,M,N
2015,SOUTH AFRICA,KwaZulu-Natal,Fishing,M,N
2015,USA,Hawaii,Boarding,M,N
2015,AUSTRALIA,New South Wales,Surfing,M,N
2015,BRAZIL,Pernambuco,Diving,M,N
2015,SOUTH AFRICA,Eastern Cape Province,Swimming,F,N
2015,USA,Florida,Surfing,M,N
2015,USA,Florida,Swimming,F,N
2015,USA,Florida,Surfing,M,N
2015,AUSTRALIA,New South Wales,Surfing,M,N
2015,USA,Florida,Surfing,F,N
2015,USA,Hawaii,Swimming,M,N
2015,USA,Florida,Wading,F,N
2015,AUSTRALIA,Western Australia,Fishing,M,N
2015,USA,Hawaii,Boarding,M,N
2015,SOUTH AFRICA,Western Cape Province,Surfing,M,N
2015,USA,Florida,Surfing,M,N
2015,USA,Florida,Surfing,M,N
2015,USA,Hawaii,Surfing,M,N
2015,USA,Hawaii,Swimming,M,N
2015,USA,California,Fishing,M,N
2015,USA,South Carolina,Boarding,F,N
2015,USA,Hawaii,Surfing,M,N
2015,AUSTRALIA,Western Australia,Surfing,M,N
2015,USA,Florida,Boarding,M,N
2015,USA,Texas,Wading,M,N
2015,USA,Florida,Surfing,M,N
2015,USA,Florida,Surfing,M,N
2015,AUSTRALIA,Queensland,Swimming,F,N
2015,USA,California,Fishing,M,N
2015,USA,Florida,Surfing,M,N
2015,USA,Hawaii,Fishing,M,N
2015,USA,Florida,Wading,M,N
2015,USA,Florida,Other,M,N
2015,USA,Florida,Swimming,M,N
2015,USA,Florida,Surfing,M,N
2015,AUSTRALIA,New South Wales,Surfing,M,N
2015,USA,California,Boarding,F,N
2015,USA,California,Fishing,M,N
2015,AUSTRALIA,New South Wales,Water-Ski,M,N
2015,USA,South Carolina,Unknown,M,N
2015,USA,California,Surfing,F,N
2015,USA,California,Surfing,M,N
2015,USA,Florida,Unknown,M,N
2015,AUSTRALIA,New South Wales,Surfing,M,N
2015,USA,South Carolina,Surfing,M,N
2015,USA,Florida,Wading,F,N
2015,USA,California,Fishing,M,N
2015,USA,California,Fishing,M,N
2015,AUSTRALIA,New South Wales,Surfing,M,N
2015,USA,Florida,Surfing,M,N
2015,USA,South Carolina,Swimming,F,N
2015,USA,California,Fishing,M,N
2015,AUSTRALIA,Victoria,Surfing,M,N
2015,SOUTH AFRICA,Eastern Cape Province,Surfing,M,N
2015,USA,California,Surfing,M,N
2015,USA,California,Swimming,M,N
2015,USA,North Carolina,Unknown,M,N
2015,AUSTRALIA,New South Wales,Surfing,M,N
2015,AUSTRALIA,New South Wales,Boarding,M,N
2015,USA,North Carolina,Swimming,M,N
2015,AUSTRALIA,New South Wales,Surfing,M,N
2015,USA,South Carolina,Other,M,N
2015,USA,North Carolina,Swimming,M,N
2015,SOUTH AFRICA,Western Cape Province,Boarding,M,N
2015,USA,Florida,Swimming,F,N
