,Month,Year,Type,Country,Area,Activity,Sex,Injury,Fatal,original order
0,Sep,2016,Unprovoked,USA,Florida,Surfing,M,Minor injury to thigh,N,5993
1,Sep,2016,Unprovoked,USA,Florida,Surfing,M,Lacerations to hands,N,5992
2,Sep,2016,Unprovoked,USA,Florida,Surfing,M,Lacerations to lower leg,N,5991
3,Sep,2016,Unprovoked,AUSTRALIA,Victoria,Surfing,M,Struck by fin on chest & leg,N,5990
4,Sep,2016,Unprovoked,AUSTRALIA,Victoria,Surfing,M,No injury: Knocked off board by shark,N,5989
6,Sep,2016,Unprovoked,USA,Florida,Wading,M,Minor injury to arm,N,5987
7,Sep,2016,Unprovoked,USA,Hawaii,Swimming,F,Severe lacerations to shoulder & forearm,N,5986
8,Sep,2016,Unprovoked,NEW CALEDONIA,North Province,Kite surfing,M,FATAL,Y,5985
9,Sep,2016,Unprovoked,USA,South Carolina,Boogie boarding,F,Lacerations & punctures to lower right leg,N,5984
10,Sep,2016,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,"No inury, board broken in half by shark",N,5983
11,Sep,2016,Unprovoked,USA,Florida,Body boarding,M,Foot bitten,N,5982
12,Sep,2016,Unprovoked,USA,California,Spearfishing,M,Two toes broken & lacerated,N,5981
13,Aug,2016,Unprovoked,USA,Florida,Surfing,M,Lacerations to right foot,N,5980
14,Aug,2016,Unprovoked,USA,Florida,Surfing,M,Minor injury to ankle,N,5979
15,Aug,2016,Unprovoked,REUNION,,Surfing,M,"Right arm severed, ankle severely bitten ",N,5978
16,Aug,2016,Unprovoked,USA,Florida,Wading,M,Minor injury to ankle,N,5977
17,Aug,2016,Unprovoked,BAHAMAS,New Providence Island,Snorkeling,M,Lacerations to left leg,N,5976
18,Aug,2016,Unprovoked,USA,Hawaii,SUP Foil boarding,M,"No inury, shark & board collided",N,5975
19,Aug,2016,Unprovoked,USA,Florida,Surfing,M,Big toe bitten,N,5974
20,Jul,2016,Unprovoked,SPAIN,Alicante Province,Swimming,M,Lacerations to right hand,N,5973
21,Jul,2016,Unprovoked,CHINA,Hong Kong,Swimming,M,Lacerations to leg,N,5972
22,Jul,2016,Boat,AUSTRALIA,Western Australia,Kayaking,M,"No injury, shark nudged kayak repeatedly",N,5971
23,Jul,2016,Provoked,USA,Florida,Lobstering,M,Laceration to left forearm PROVOKED INCIDENT,N,5970
24,Jul,2016,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,"No injury. Leg rope severed, knocked off board by shark",N,5969
25,Jul,2016,Unprovoked,JAPAN,Kochi Prefecture,Surfing,M,Lacerations to left leg,N,5968
26,Jul,2016,Unprovoked,AUSTRALIA,Tasmania,Surfing,M,Calf bumped but no injury,N,5967
27,Jul,2016,Unprovoked,BAHAMAS,Abaco Islands,Spearfishing,M,Lacerations to face and right leg,N,5966
28,Jul,2016,Provoked,AUSTRALIA,Queensland,Fishing,M,Laceration to left calf from hooked shark PROVOKED INCIDENT,N,5965
30,Jul,2016,Unprovoked,USA,Florida,Surfing,F,Minor injury to leg,N,5963
31,Jul,2016,Unprovoked,USA,Florida,,F,Minor injury to toes,N,5962
32,Jul,2016,Unprovoked,USA,South Carolina,Swimming,M,Puncture wounds to foot,N,5961
33,Jul,2016,Unprovoked,BAHAMAS,,Scuba Diving,M,Face bruised when partly blind shark collided with him,N,5960
34,Jul,2016,Unprovoked,SPAIN,Canary Islands,Wading,F,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",N,5959
35,Jul,2016,Boat,USA,California,Fishing for squid,M,"No injury. Hull bitten, tooth fragment recovered",N,5958
36,Jul,2016,Provoked,USA,Massachusetts,Fishing,M,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,N,5957
37,Jul,2016,Boat,USA,California,Fishing for sharks,M,"No injury. Hull bitten, tooth fragment recovered",N,5956
38,Jul,2016,Unprovoked,USA,Florida,Swimming,F,"Buttocks, thigh, left hand & wrist injured",N,5955
39,Jul,2016,Provoked,AUSTRALIA,Queensland,Fishing,M,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,N,5954
40,Jun,2016,Unprovoked,USA,South Carolina,,M,Minor injury,N,5953
41,Jun,2016,Unprovoked,USA,North Carolina,Surfing,M,Foot injured,N,5952
42,Jun,2016,Unprovoked,COLUMBIA,Isla Provedencia,Scuba Diving,M,Severe bite to right hand,N,5951
43,Jun,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,Spearfishing,M,Injuries to left leg & right hand,N,5950
44,Jun,2016,Unprovoked,USA,South Carolina,Floating,M,Lacerations and punctures to foot,N,5949
45,Jun,2016,Unprovoked,USA,Florida,Wading,M,Injuries to right calf,N,5948
46,Jun,2016,Unprovoked,USA,Hawaii,Surfing,M,Single puncture wound to arm,N,5947
47,Jun,2016,Provoked,AUSTRALIA,Western Australia,Spearfishing,M,No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT,N,5946
48,Jun,2016,Unprovoked,USA,Texas,Floating in tube,F,Injury to lower leg,N,5945
49,Jun,2016,Unprovoked,USA,North Carolina,Standing,M,Laceration to wrist,N,5944
50,Jun,2016,Invalid,USA,South Carolina,Surfing,M,"No injury, board damaged",N,5943
51,Jun,2016,Unprovoked,USA,Florida,Swimming,M,Leg bitten,N,5942
52,Jun,2016,Unprovoked,AUSTRALIA,Western Australia,Diving,F,FATAL,Y,5941
53,Jun,2016,Unprovoked,EGYPT,Suez,Swimming,M,"Leg severely bitten, surgically amputated",N,5940
54,Jun,2016,Unprovoked,AUSTRALIA,New South Wales,Spearfishing,M,"No injury, but sharks repeatedly hit their fins and guns",,5939
55,Jun,2016,Unprovoked,NEW CALEDONIA,,Kite surfing,M,Laceration to heel,N,5938
56,May,2016,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,FATAL,Y,5937
57,May,2016,Unprovoked,USA,California,Swimming,F,Injuries to arm and shoulder,N,5936
58,May,2016,Unprovoked,USA,Florida,Swimming,M,Injury to posterior right leg,N,5935
59,May,2016,Unprovoked,USA,Florida,Swimming,F,Puncture wounds to thigh,N,5934
60,May,2016,Unprovoked,USA,Florida,Swimming,F,Lacerations and puncture wounds to foot and ankle,N,5933
61,May,2016,Unprovoked,USA,Florida,Swimming,F,"Back, arm & hand injured",N,5932
62,May,2016,Unprovoked,USA,Florida,Swimming,M,Ankle bitten,N,5931
63,May,2016,Provoked,USA,Florida,Teasing a shark,F,Arm grabbed PROVOKED INCIDENT,N,5930
64,May,2016,Unprovoked,USA,Hawaii,Floating,M,Minor lacerations to right shoulder,N,5929
65,May,2016,Provoked,NEW ZEALAND,North Island,Fishing,M,Foot bitten by landed shark PROVOKED INCIDENT,N,5928
66,Apr,2016,Unprovoked,INDONESIA,Bali,Surfing,M,Elbow bitten,N,5927
67,Apr,2016,Unprovoked,USA,Florida,Surfing,M,Minor injury to left foot,N,5926
68,Apr,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,Surf-skiing,M,"No injury, surf-ski bitten",N,5925
69,Apr,2016,Unprovoked,AUSTRALIA,New South Wales,Swimming,M,Minor puncture wound to foot,N,5924
70,Apr,2016,Provoked,FRENCH POLYNESIA,Tuamotos,Spearfishing,M,"Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT",N,5923
71,Apr,2016,Unprovoked,USA,Florida,Spearfishing,M,Multiple bites to right arm,N,5922
72,Apr,2016,Unprovoked,NEW CALEDONIA,Grand Terre,Walking,F,FATAL,Y,5921
73,Apr,2016,Invalid,CAPE VERDE,Boa Vista Island,,M,"""Serious""",N,5920
74,Apr,2016,Unprovoked,USA,Florida,Fishing,M,Left hand bitten,N,5919
75,Apr,2016,Invalid,USA,Florida,SUP,M,Fell off board when spinner shark leapt from the water next to him. No injury to surfer,N,5918
76,Mar,2016,Unprovoked,USA,Hawaii,Snorkeling,F,Minor injury to left foot,N,5917
77,Mar,2016,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Severe injury to thigh,N,5916
78,Mar,2016,Unprovoked,USA,Florida,,M,Minor injury to arm. Possibly caused by smalll nurse shark,N,5915
79,Mar,2016,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,"No injury, board dented",N,5914
80,Mar,2016,Provoked,BAHAMAS,,,M,Minor injury to chest PROVOKED INCIDENT,N,5913
82,Mar,2016,Unprovoked,USA,Florida,Body surfing,M,Lacerations to right foot and ankle,N,5911
83,Mar,2016,Unprovoked,Fiji,Vanua Levu,Diving for beche-de-mer,M,FATAL,Y,5910
84,Mar,2016,Unprovoked,USA,Florida,,M,Superficial injury to foot,N,5909
85,Mar,2016,Unprovoked,AUSTRALIA,South Australia,Fishing,M,Puncture wounds to right calf,N,5908
86,Mar,2016,Unprovoked,BRAZIL,Santa Catarina State,Swimming,M,Minor injury to head,N,5907
87,Feb,2016,Unprovoked,NEW CALEDONIA,South Province,Kite surfing,M,Puncture wounds to right thigh,N,5906
88,Feb,2016,Unprovoked,NEW CALEDONIA,South Province,Spearfishing,M,Forearm bitten,N,5905
89,Feb,2016,Unprovoked,DOMINICAN REPUBLIC,Altagracia Province,Wading,F,Avulsion injury to lower leg,N,5904
