Year,Total world population
1950,2532392455
1951,2579907584
1952,2626640793
1953,2673247873
1954,2720278371
1955,2768174803
1956,2817269749
1957,2867788835
1958,2919903701
1959,2973583923
1960,3028897275
1961,3085903448
1962,3144745331
1963,3205669361
1964,3268915305
1965,3334737235
1966,3403171941
1967,3474015314
1968,3546757695
1969,3620701243
1970,3695294130
1971,3770430612
1972,3846110514
1973,3922030192
1974,3997863761
1975,4073423066
1976,4148539094
1977,4223364153
1978,4298447982
1979,4374562430
1980,4452292988
1981,4531631159
1982,4612464295
1983,4695120813
1984,4779974843
1985,4867173256
1986,4956924846
1987,5048827753
1988,5141648276
1989,5233725448
1990,5323832001
1991,5411544865
1992,5497084420
1993,5580675694
1994,5662799270
1995,5743854605
1996,5823848086
1997,5902754779
1998,5980942702
1999,6058874951
2000,6136928607
2001,6215250645
2002,6293908230
2003,6373092196
2004,6452984942
2005,6533711640
2006,6615346046
2007,6697869484
2008,6781179676
2009,6865108849
2010,6949495855
2011,7034293227
2012,7119418605
2013,7204623708
2014,7289604107
2015,7374111755
2016,7458016628
