,Year,Sharks_attacks,Total world population,probability
0,1950,43,2532392455,1.697999056785217e-08
1,1951,31,2579907584,1.2015934288598146e-08
2,1952,29,2626640793,1.1040717892330397e-08
3,1953,36,2673247873,1.3466764666158587e-08
4,1954,42,2720278371,1.5439596347104875e-08
5,1955,43,2768174803,1.553370110637482e-08
6,1956,51,2817269749,1.8102632883522295e-08
7,1957,41,2867788835,1.4296729068617076e-08
8,1958,54,2919903701,1.8493760592688805e-08
9,1959,93,2973583923,3.127539104602564e-08
10,1960,93,3028897275,3.070424367561294e-08
11,1961,78,3085903448,2.5276228279453286e-08
12,1962,86,3144745331,2.7347206513747425e-08
13,1963,61,3205669361,1.9028787167548437e-08
14,1964,66,3268915305,2.0190183544691134e-08
15,1965,51,3334737235,1.5293558804191658e-08
16,1966,58,3403171941,1.7042923779794997e-08
17,1967,48,3474015314,1.3816864826865872e-08
18,1968,46,3546757695,1.296959193599494e-08
19,1969,30,3620701243,8.285687767804597e-09
20,1970,42,3695294130,1.1365807029818219e-08
21,1971,28,3770430612,7.426207476378297e-09
22,1972,35,3846110514,9.100102525031084e-09
23,1973,27,3922030192,6.884189738027392e-09
24,1974,38,3997863761,9.505076278661113e-09
25,1975,49,4073423066,1.2029194907102243e-08
26,1976,39,4148539094,9.40089971826598e-09
27,1977,26,4223364153,6.156229739633347e-09
28,1978,25,4298447982,5.816052701972654e-09
29,1979,25,4374562430,5.714857291452576e-09
30,1980,35,4452292988,7.861117876638715e-09
31,1981,49,4531631159,1.0812883546950649e-08
32,1982,40,4612464295,8.672153851328621e-09
33,1983,50,4695120813,1.064935323103048e-08
34,1984,41,4779974843,8.57745100061398e-09
35,1985,37,4867173256,7.60194841110049e-09
36,1986,39,4956924846,7.86778117716897e-09
37,1987,35,5048827753,6.932302251587627e-09
38,1988,55,5141648276,1.0696958844253703e-08
39,1989,53,5233725448,1.0126629783427646e-08
40,1990,38,5323832001,7.137715839429622e-09
41,1991,38,5411544865,7.022024384528502e-09
42,1992,56,5497084420,1.0187218481902085e-08
43,1993,56,5580675694,1.0034627179681444e-08
44,1994,56,5662799270,9.889102073010615e-09
45,1995,76,5743854605,1.323153269475908e-08
46,1996,61,5823848086,1.047417430867375e-08
47,1997,57,5902754779,9.656508212536065e-09
48,1998,65,5980942702,1.0867851982307789e-08
49,1999,65,6058874951,1.072806429009926e-08
50,2000,97,6136928607,1.58059521646314e-08
51,2001,92,6215250645,1.4802299256267565e-08
52,2002,88,6293908230,1.3981773610957147e-08
53,2003,92,6373092196,1.4435692623079071e-08
54,2004,92,6452984942,1.4256968027494896e-08
55,2005,103,6533711640,1.5764393299732463e-08
56,2006,103,6615346046,1.5569858218116864e-08
57,2007,112,6697869484,1.672173521259973e-08
58,2008,121,6781179676,1.78435030158903e-08
59,2009,120,6865108849,1.7479693714904417e-08
60,2010,101,6949495855,1.4533428338882001e-08
61,2011,128,7034293227,1.819656870553713e-08
62,2012,117,7119418605,1.64339262082202e-08
63,2013,122,7204623708,1.6933570016228807e-08
64,2014,125,7289604107,1.7147707634762502e-08
65,2015,139,7374111755,1.8849727888345516e-08
66,2016,103,7458016628,1.3810642311161122e-08
